ID,CREATE DATE,Status,Shortage Type,Primary Usages,Household Support,Water Issues,Approximate Issue Start Date,County,CITY,LATITUDE,LONGITUDE,Well Depth,Was Issue Resolved?,Approximate Repair Cost,Additional Info,Well to Water Depth,Measure Date,Pump Rate Reduction,Report Date,StatusType,Region
3102,09/11/2015,Undefined,Dry well (groundwater),Household,,,07/07/2015,Stanislaus,Empire,37.657762,-120.884807,45',,,,"May, 2015",,>45',09/11/2015,Outage,Inland
3103,09/11/2015,Undefined,Dry well (groundwater),Household,,,07/27/2015,Stanislaus,Hickman,37.6310712,-120.71052,47',,,,Sept. 2014,,44',09/11/2015,Outage,Inland
3105,09/11/2015,Undefined,Dry well (groundwater),Household,,,08/01/2015,Stanislaus,Denair,37.578196,-120.816245,85',,,,42220,,>85',09/11/2015,Outage,Inland
3108,09/11/2015,Undefined,Dry well (groundwater),Household,,,08/01/2015,Stanislaus,Ceres,37.60228,-120.960309,110',,,,UNK,,UNK,09/11/2015,Outage,Inland
3109,09/11/2015,Undefined,Dry well (groundwater),Household,,,08/15/2015,Stanislaus,Newman,37.317443,-121.033522,65',,,,65' on 8/15/15,,65',09/11/2015,Outage,Inland
3110,09/11/2015,Undefined,Dry well (groundwater),Household,,,08/20/2015,Stanislaus,Waterford,37.6603629,-120.755139,UNK,,,,UNK,,UNK,09/11/2015,Outage,Inland
3111,09/11/2015,Undefined,Dry well (groundwater),Household,,,09/10/2015,Stanislaus,Modesto,37.678451,-120.899061,,,,,,,,09/11/2015,Outage,Inland
3112,09/11/2015,Undefined,Dry well (groundwater),Household,,,09/08/2015,Stanislaus,Empire,37.638741,-120.9008227,,,,,,,,09/11/2015,Outage,Inland
3121,09/19/2015,Resolved," New well drilled with poor water quality, water level still falling",Combination of Household/Agriculture,owner-occupied,"Reduction in water pressure, lower flows.
,Reduction in water quality
,Well is catching air, have to wait to be able to pump.
",01/01/2013,San Luis Obispo,Templeton,35.544734,-120.621761,"Original well - 355 ft, new well - 540 ft","Yes, drilled replacement well.
,Poor water quality
","$25,000",Many of our neighbors have drilled new wells into poor quality water or are trucking water for their homes.,280 ft - continuous measurement with Wellntel,09/19/2015, 75%,09/19/2015,Resolved,Southern
3122,09/22/2015,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",07/02/2012,San Luis Obispo,Paso Robles,35.624832,-120.555413,,"No, getting water from our neighbors with a hose
,Paying monthly to neighbors
,No, cannot afford to finance solutions.
",,,,,,09/22/2015,Outage,Southern
3123,09/22/2015,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",06/01/2013,San Luis Obispo,Paso Robles,35.629448,-120.555153,360ft.,"No, trucking in water
,No, cannot afford to finance solutions.
",,,,,It's no longer producing any water,09/22/2015,Outage,Southern
