Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1982-2021 (CPI-Adjusted)
"Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths"
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,2052.4,85
"Midwest/Plains/Southeast Tornadoes (April 1982)","Severe Storm",19820402,19820404,1488.4,33
"Severe Storms (June 1982)","Severe Storm",19820531,19820610,1464.1,30
"Gulf States Storms and Flooding (December 1982-January 1983)","Flooding",19821201,19830115,4577.5,45
"Western Storms and Flooding (December 1982-March 1983)","Flooding",19821213,19830331,4468.9,50
"Hurricane Alicia (August 1983)","Tropical Cyclone",19830817,19830820,8760.0,21
"Southeast Drought (Summer 1983)","Drought",19830601,19830831,8862.6,0
"Freeze / Cold Wave (December 1983)","Freeze",19831215,19831225,5997.6,151
"Tornadoes, Severe Storms, Floods (Spring 1984)","Severe Storm",19840327,19840407,1718.8,80
"Severe Storms and Hail (June 1984)","Severe Storm",19840613,19840617,1258.3,1
"Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2319.3,150
"Florida Freeze (January 1985)","Freeze",19850120,19850122,3324.0,0
"Ohio and Pennsylvania Tornado Outbreak (June 1985)","Severe Storm",19850531,19850531,1632.0,89
"Hurricane Elena (September 1985)","Tropical Cyclone",19850830,19850903,3515.9,4
"Hurricane Gloria (September 1985)","Tropical Cyclone",19850926,19850928,2311.5,11
"Hurricane Juan (October 1985)","Tropical Cyclone",19851027,19851031,4026.2,63
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)","Flooding",19851103,19851108,3752.0,62
"Western Severe Storms and Flooding (February 1986)","Severe Storm",19860214,19860216,1414.6,13
"Southeast Drought/Heat Wave (Summer 1986)","Drought",19860601,19860831,4815.7,100
"U.S. Drought/Heat Wave (Summer 1988)","Drought",19880601,19880831,50609.9,454
"Southern Derecho and Severe Storms (May 1989)","Severe Storm",19890501,19890506,1301.5,21
"Tropical Storm Allison (June 1989)","Tropical Cyclone",19890626,19890628,1380.6,11
"Hurricane Hugo (September 1989)","Tropical Cyclone",19890921,19890922,21059.8,86
"Northern Plains Drought (Summer-Fall 1989)","Drought",19890601,19891130,7237.7,0
"Florida Freeze (December 1989)","Freeze",19891223,19891225,4820.0,10
"Winter Storm, Cold Wave (December 1989)","Winter Storm",19891221,19891226,1577.8,100
"Southern Flooding (May 1990)","Flooding",19900511,19900519,2275.6,13
"Colorado Hail Storm (July 1990)","Severe Storm",19900711,19900711,1836.9,0
"Western Fire Season (Summer 1990)","Wildfire",19900601,19900831,1587.3,17
"California Freeze (December 1990)","Freeze",19901218,19901225,7786.0,0
"Severe Storms, Tornadoes (March 1991)","Severe Storm",19910326,19910329,1399.5,0
"Hurricane Bob (August 1991)","Tropical Cyclone",19910818,19910820,3216.3,18
"U.S. Drought (Spring-Summer 1991)","Drought",19910301,19910831,6528.5,0
"Oakland Firestorm (October 1991)","Wildfire",19911001,19911031,7029.0,25
"Severe Storms (March 1992)","Severe Storm",19920324,19920325,1689.1,0
"Hail, Tornadoes (April 1992)","Severe Storm",19920428,19920429,2004.3,0
"Severe Storms, Hail (June 1992)","Severe Storm",19920619,19920620,1555.8,0
"Hurricane Andrew (August 1992)","Tropical Cyclone",19920823,19920827,55890.0,61
"Hurricane Iniki (September 1992)","Tropical Cyclone",19920911,19920912,6417.0,7
"Southeast Severe Weather (November 1992)","Severe Storm",19921121,19921123,1353.2,26
"Northeast Winter Storm (December 1992)","Winter Storm",19921210,19921213,5115.1,19
"East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,11275.2,270
"Northern Plains and Ohio Valley Severe Weather (July 1993)","Severe Storm",19930708,19930710,1300.9,1
