Scenario,Year,Crop demand,Energy crop demand,Livestock demand,Energy crop production,Non-energy crop production,Livestock production,Carbon price,Methane concentration,CO2 concentration,Nitrous oxide concentration,Economic consumption,Economic consumption ($),Electricity capacity,Biomass capacity,Coal capacity,Concentrated solar capacity,Gas capacity,Geothermal capacity,Hydropower capacity,Nuclear capacity,Offshore wind capacity,Oil capacity,Onshore wind capacity,Other electricity capacity,Solar capacity,Solar PV capacity,Wind capacity,Black carbon emissions,Methane emissions,Fossil methane emissions,Land methane emissions,Carbon monoxide emissions,CO2 emissions,CO2 emissions (BECCS),CO2 emissions (CCS),Fossil CO2 emissions,Land CO2 emissions,F-gas emissions,Kyoto gas emisisons,Nitrous oxide emissions,Land nitrous oxide emissions,Ammonia emissions,NOx emissions,Organic carbon emissions,Sulfur emissions,VOC emissions,Freight transport energy,Passenger transport energy,Final energy,Final energy (electricity),Final energy (gases),Final energy (heat),Final energy (hydrogen),Final energy (industry),Final energy (liquids),Final energy (residential/commercial),Final energy (solids),Final energy (traditional biomass),Final energy (transport),Radiative forcing,Radiative forcing (aerosols),Radiative forcing (methane),Radiative forcing (CO2),Radiative forcing (f-gases),Radiative forcing (Kyoto gases),Radiative forcing (nitrous oxide),GDP,Cropland,Forest,Pasture,Urban area,Population,Primary energy,Primary energy (kWh),Primary energy (biomass),"Primary energy (biomass, CCS)","Primary energy (biomass, no CCS)",Primary energy (coal),"Primary energy (coal, CCS)","Primary energy (coal, no CCS)",Primary energy (fossil),"Primary energy (fossil, CCS)","Primary energy (fossil, no CCS)",Primary energy (gas),"Primary energy (gas, CCS)",Primary energy (geothermal),Primary energy (hydro),Primary energy (no CCS),Primary energy (renewables excl. bio),Primary energy (nuclear),Primary energy (oil),"Primary energy (oil, CCS)","Primary energy (oil, no CCS)",Primary energy (other),Primary energy (solar),Primary energy (trad biomass),Primary energy (wind),Temperature,GDP per capita,Final energy (kWh),Final energy per capita,Primary energy per capita,CO2 emissions per capita,Methane emisisons per capita,Nitrous oxide emissions per capita,"Primary energy (%, fossil)","Primary energy (%, fossil CCS)","Primary energy (%, coal)","Primary energy (%, coal CCS)","Primary energy (%, gas)","Primary energy (%, gas CCS)","Primary energy (%, oil)","Primary energy (%, oil CCS)","Primary energy (%, nuclear)","Primary energy (%, solar)","Primary energy (%, wind)","Primary energy (%, geothermal)","Primary energy (%, hydro)","Primary energy (%, biomass)","Primary energy (%, biomass CCS)","Primary energy (%, trad biomass)",Electricity use,Electricity per capita,Final heat energy,Final heat per capita,Final transport energy,Final transport per capita,Final industry energy,Final industry per capita,Economic consumption per capita,Secondary electricity,"Secondary electricity, kWh",Secondary electricity (biomass),Secondary electricity (biomass CCS),Secondary electricity (coal),Secondary electricity (coal CCS),Secondary electricity (gas),Secondary electricity (gas CCS),Secondary electricity (geothermal),Secondary electricity (hydro),Secondary electricity (renewables excl. bio),Secondary electricity (nuclear),Secondary electricity (oil),Secondary electricity (solar),Secondary electricity (wind),Secondary electricity (gas),Secondary electricity (heat),"Secondary electricity (heat, kWh)","Secondary electricity (heat, hydro)",Secondary electricity (hydrogen),Secondary electricity (biofuels),Secondary electricity (oil),Secondary electricity per capita,Secondary heat per capita,"Secondary electricity (%, biomass)","Secondary electricity (%, biomass CCS)","Secondary electricity (%, coal)","Secondary electricity (%, coal CCS)","Secondary electricity (%, gas)","Secondary electricity (%, gas CCS)","Secondary electricity (%, geothermal)","Secondary electricity (%, hydro)","Secondary electricity (%, renewables excl. bio)","Secondary electricity (%, nuclear)","Secondary electricity (%, oil)","Secondary electricity (%, solar)","Secondary electricity (%, wind)",final_energy_biomass,final_energy_coal,final_energy_solar,annotation
SSP1 - 1.9,2005,3389946625,,238986475.6,31469668.7,3417340000,238986500,0,1753.16,379.85,319.855,34531.70013,34531700129999.996,3797.849,66.79925977,967.1141719,0.408451385,1011.005984,,871.2293125,403.097,0.684200073,405.4770781,58.03196094,9.507541016,4.902305389,4.493854004,58.71616101,10166850.09,318397613.5,,153583877.9,NaN,33166074220.000004,0,0,29394248380,3771829776,672658325.2,44527289060,9156453.401999999,6874411.013,57252529.660000004,133252532.4,34307960.51,116648422.2,156230713.1,23586.44307,51535.72083,94659.93683900002,14858.59804242448,14632.809014571181,3680.4779332688804,0.0000019099404168400002,28803.2739037118,42149.2328582482,32357.6919139106,19338.8349155,10553.688998500002,25079.373363482642,1.8709164,-1.11516835,0.562304717,1.6897843,0.021105041,2.3467499,0.15571104,57407878910000,1548431300,3725047200,3188831000,67192000,6530547852,127506.51694957641,127506516949576.4,12189.22755137424,0,12189.226331928821,32633.637218,0,32633.637218,109509.22824620141,0,109509.22824620141,28318.217099,0,,2931.6773675622403,28318.217099,3098.926506917,2767.9541432504325,48557.3739292014,0,48557.3739292014,58.80304704240001,4.572003657600001,10553.688998500002,103.87408865476,0.91338626,8790.66813551005,94659936839000.02,14494.94575099241,19524.62792390797,5.078605190809955,0.04875511530054707,0.001402095752073206,85.88520090271763,0,25.593701403439056,0,22.209231164395067,0,38.0822683348835,0,2.1708334675513448,0.00358570194448025,0.08146570947102096,,2.2992372764143485,9.559689844084266,0,8.276980072064514,14858598042424.48,2275.2452595342347,3680477933268.8804,563.5787405097602,25079373363482.64,3840.3169124320875,28803273903711.8,4410.544805194362,5287.718720172084,18163.789108797442,18163789108797.44,220.77470106406403,0,7248.086190130981,0,3659.0133605416804,0,,2931.6773675622403,3098.926506917,2767.9541432504325,1169.035726338944,4.572003657600001,103.87408865476,14632.809014571181,,,,0.0000020595210920600002,310.390805534668,41838.842054380206,2781.3576319228296,,1.2154661108520255,0,39.904042855355804,0,20.144548797747685,0,,16.140230157937214,17.061013472216914,15.238858625097132,6.436078503976539,0.025170979635441803,0.5718745578501,37.99325,31.6265,0.0164592,Sustainability - Taking the Green Road
SSP1 - 1.9,2010,3780159000,,262440747.10000002,56039029.300000004,3813367000,262440781.3,0,1812.864,390.5053,323.68957,40443.00079,40443000790000,4523.66,80.58771875,1139.278,1.256,1170.674234,,1028.111,422.7626875,3.192699951,434.5955625,193.142,11.24126953,40.07435156,38.81835156,196.3347,10420980.45,347860687.3,,164350037.79999998,NaN,35488828780,0,0,31981488160,3507338835,877775817.9,47993019530,9831879.950000001,7486986.317,63370296.42,133305501.09999998,36628929.13999999,119582237.19999999,161309415.8,24706.30714,52415.00092,102022.55559020142,17600.117160638023,15088.045925982642,4083.70877807552,0.106530363002,33812.83305024481,42081.12858154261,34022.7388015026,23169.44589109744,11266.1288045625,24831.465179045143,2.1394583,-1.05053109,0.58827586,1.837859,0.031102416,2.5390686,0.16780423,68461882809999.99,1582774900,3708145600,3187428200,62963562.5,6921797852,140522.942279375,140522942279375.02,14643.981442953562,0,14643.98089850868,40273.4784132014,0,40273.4784132014,119306.6796397118,0,119306.6796397118,31332.386177,0,,3440.92492218218,31332.386177,3884.6511632740003,2756.2902050304,47700.8150772882,0,47700.8150772882,68.6530549224,33.7260269808,11266.1288045625,341.34715863306405,0.98936167,9890.765993724948,102022555590201.42,14739.314520825365,20301.50912869725,5.127111415099442,0.050255828722228335,0.0014204228670386778,84.90192256472757,0,28.65971759482043,0,22.296989850033018,0,33.945215139641576,0,1.9614521019283762,0.024000370639656092,0.24291204916164402,,2.448657042307899,10.421060935259755,0,8.017287869025829,17600117160638.023,2542.7089228779782,4083708778075.52,589.9780469456449,24831465179045.14,3587.429987119644,33812833050244.81,4884.97840780988,5842.846274153226,21268.465156425184,21268465156425.184,337.52291890700803,0,8598.1799618718,0,4721.20332973742,0,,3440.92492218218,3884.6511632740003,2756.2902050304,970.6147142689281,33.7260269808,341.34715863306405,15088.045925982642,,,,0.00046693370688000006,450.9987191320201,41630.1298874106,3072.679325687014,,1.5869641576136146,0,40.42689445916269,0,22.19813839416216,0,,16.178529559490475,18.264840150444286,12.959516282714587,4.563633093080561,0.158572923493783,1.6049449554658786,43.75727832,39.65266016,0.121413597,Sustainability - Taking the Green Road
SSP1 - 1.9,2020,4330961000,,289096841.8,91136859.74000001,4354620000,289096875,0,1812.0206,412.14202,330.4511,60738.12103,60738121030000,5775.863,185.2418609,1089.114376,8.269086914,1616.253987,,1314.283,452.0645,19.43807031,325.0383452,470.4210938,16.97594922,287.0315869,278.7625,489.8591641,7281272.888,299868988,,152948965.10000002,NaN,33208799480,48300128.47,181468957.10000002,30554137570,2654661229,1591553955,45061328130,9276021.621,7310204.757999999,65452770.98,112406551.39999999,29281070.71,77310096.74000001,118647807.1,31615.93574,68243.55316,96283.462443375,20475.066293928823,16039.610270566842,3242.7554164244802,5.54588499226,32795.054458244806,38729.980039514805,30646.297294796004,17790.491662937504,5952.918715108941,26012.240862553823,2.582151,-0.88031767,0.587912025,2.1264949,0.056289546,2.8737295,0.1889525,101815296900000,1526941700,3716684400,3102609400,77418556.25,7576104980,134227.24279837502,134227242798375.03,11990.976389995662,140.99178140444602,11849.98452442448,34527.1934272882,120.67006764708802,34406.5270807552,113206.0888425764,571.5149852671781,112634.5888020434,35654.6682737118,390.687534494222,,4400.8924096,35263.9995722882,6275.65926774562,2853.6550468111004,43024.227141576404,60.157383125868,42964.062149000005,99.152888211136,501.431998923056,5952.918715108941,1274.1819704558723,1.2371159,13439.002913605349,96283462443375,12708.834248938167,17717.18358611961,4.383360522018532,0.03958089134081667,0.0012243787071968477,84.33913003236246,0.42578166201749396,25.72294022246443,0.08989983339548183,26.562914897439466,0.29106426262594115,32.053274912458576,0.04481756599607086,2.1259879792790075,0.3735694695571341,0.9492722519599409,,3.27868793089243,8.933340311554717,0.10503961674623095,4.4349556699536175,20475066293928.824,2702.584817393703,3242755416424.4805,428.02408691338917,26012240862553.824,3433.458344521755,32795054458244.805,4328.748683501585,8017.064334554667,24145.095085505065,24145095085505.066,590.5517513299121,1.6911024639920003,7659.459491451581,2.0053310487080003,6051.0493686134005,64.02548594257,,4400.8924096,6275.65926774562,2853.6550468111004,714.717963162802,501.431998923056,1274.1819704558723,16039.610270566842,,,,4.130445804354,604.869253061682,38125.110805619806,3187.006403586697,,2.4458456230492787,0.007003917184849744,31.72263130183221,0.008305335065389132,25.06119502609043,0.26516974033788826,,18.22685888796508,25.99144565602918,11.818777423346013,2.9600958730200486,2.0767447680256965,5.27718762731565,28.30573828,35.73998047,1.805154054,Sustainability - Taking the Green Road
SSP1 - 1.9,2030,4764790750,,309853936.5,445930839.8,4944219000,309853906.3,303.6736287,1631.172,424.68152,335.06455,94211.73096,94211730960000,5656.165,223.6485566,871.7687415,18.59721094,1469.24485,,1430.762,452.4573125,51.14825,248.7838722,476.0843125,27.49335938,404.7742109,386.177,527.2325625,3990174.055,215384597.79999998,,122555608.69999999,NaN,17967968260,1001573983,2510513471,17442727580,525239686.20000005,959602600.1,26575640630,7595499.998000001,7017176.117,64920241.1,62378103.260000005,19670690.54,33131301.880000003,73392566.56,33417.12511,68646.79718,76348.255523,19542.786900883682,15204.948144504342,2030.8063393659943,2920.3134806933604,29913.385486244802,22333.98521995166,25876.737823595922,14315.428119,2981.2830378023,17312.275135920143,2.8439039,-0.58559486,0.507789095,2.2869143,0.060183535,2.9839963,0.20325638,155854796900000,1518572600,3768342400,3001868600,91698693.75,8061937988,110156.45098620141,110156450986201.4,20613.991371735465,3021.16642526454,17592.82548813802,16470.11842886198,953.0302085346681,15517.09032199566,79128.61038617101,6935.882557034941,72192.7150874592,38605.1133562882,5695.9626734331605,,4935.917762619941,32909.136577288205,7578.487715563101,3003.4080555023006,24053.378617687504,286.889674511556,23766.488196508682,168.028027755648,894.05680413376,2981.2830378023,1580.4851221648642,1.466178,19332.175108762447,76348255523000,9470.21121182556,13663.768085312318,2.228740569171443,0.026716231025417803,0.0009421431930270016,71.83293368454922,6.296392535289426,14.95156959162118,0.8651605965900699,35.04571272101351,5.170793559922021,21.835651387044518,0.26043837827300087,2.7264931183000063,0.8116245541041921,1.4347640179174268,,4.480824970693938,18.713376463369947,2.7426141621456033,2.7064080324952973,19542786900883.684,2424.0805287726907,2030806339365.9944,251.90051602837934,17312275135920.143,2147.408620816613,29913385486244.8,3710.4459908734293,11685.990527368467,22576.689919670822,22576689919670.82,1424.4599751226242,388.092141584576,2389.521169393184,17.124213699360002,6910.706695227601,451.66700466664804,,4935.917762619941,7578.487715563101,3003.4080555023006,1270.1059083061361,894.0598708028801,1580.4987755091202,15204.948144504342,,,,1952.0101229957381,3257.0759695475804,19076.909250404082,2800.4048100190894,,6.309427910782917,1.718994870219817,10.584019082935717,0.0758490893053364,30.60991987672373,2.0005900168435033,,21.862893897122316,33.56775392020621,13.303137289782521,5.625740145367842,3.9601016534487443,7.000577946247333,24.97930078,26.55619922,3.2186011,Sustainability - Taking the Green Road
SSP1 - 1.9,2040,5110124250,,324523696.3,1574852336,5147676000,324523656.3,546.2075423,1449.081,425.52721,337.95418,136888.1989,136888198899999.98,8287.41,315.4962031,254.4912603,577.363875,1072.342583,,1729.524,372.9538125,467.2583125,31.34221933,1022.322,87.54459375,2934.134875,2356.771,1489.580313,3308902.979,178914993.29999998,,106079031.9,NaN,6413946208,3547881355,8466587109,5342759350,1071187443,201062896.70000002,13376179690,7678851.7,7237961.518,65249185.36,46320522.72,19580160.14,18772619.25,76607723.47,41927.65599,88176.81885,80272.37324562501,23141.350979732644,15747.115461571182,1568.671773547526,11819.603639008681,31243.191216755204,16198.481653219402,27875.264272415803,11797.130207141061,2594.486667532118,18288.08320823264,2.7911127,-0.4881943,0.422359271,2.2975623,0.047898954,2.9183715,0.21216476,223195500000000,1606699500,3807660000,2910374800,104735406.3,8388762694.999999,111005.64436,111005644360000,29409.217055132605,10696.461465495662,18712.753686857643,8282.231561891062,2887.6772768066403,5394.557268420141,61573.774842313804,23604.506697479144,37969.271903171,41181.200472711804,20185.81259030382,,5947.515655230941,20995.38572129514,18310.60362624896,2227.5681464975364,12110.342804933161,531.016829813124,11579.32892456684,515.509852407552,7272.867115511261,2594.48639642079,4574.71100143254,1.5578765,26606.486333560544,80272373245625.02,9569.036121795436,13232.659975727209,0.7645878708457137,0.021327935931080715,0.0009153735752445196,55.46904862119013,21.264240060557533,7.461090478454532,2.6013787798408488,37.09829415444673,18.184492064961713,10.909663985786498,0.4783692152544918,2.006716108302888,6.551799376908063,4.121151701616536,,5.357849764776538,26.493442945798513,9.635961781192135,2.337256282218107,23141350979732.645,2758.6131377307543,1568671773547.5261,186.9967992398343,18288083208232.64,2180.0692036661126,31243191216755.203,3724.4099461029286,16318.0440163828,27477.10727889046,27477107278890.46,1950.283524670016,1850.3507069460481,701.0448186131841,361.253969002944,4179.54394641026,2213.776186575088,,5947.515655230941,18310.60362624896,2227.5681464975364,108.064339506958,7705.72847568896,4643.846842852281,15747.115461571182,,,,11149.979744976661,5402.31226351302,10796.169389706381,3275.4660344925232,,7.097848783260891,6.734153956474148,2.551377812437222,1.3147452726236604,15.211004215211668,8.056802210310696,,21.64534859824991,66.63948806691252,8.106996576778975,0.3932886326428526,28.04417654841329,16.90078506342609,26.68089453,15.78874023,26.18230082,Sustainability - Taking the Green Road
SSP1 - 1.9,2050,5455829250,,339193526.4,2006291953,5456159000,339193531.3,651.0313616,1325.0723,420.47559,340.41814,181033.2031,181033203100000,12255.13,429.8081643,209.9185137,1978.521,1551.946806,,1820.346,213.9030938,900.5343125,8.938428955,1986.75,136.447,4996.537,3018.016,2887.284313,2538134.098,153421997.1,,86351827.09,NaN,968036255,4244053177,10766619420,1609828849,-641792977.9,200780304,7260520996,7570985.558999999,7181882.807,64527894.84,36245009.29,15823019.98,15778996.469999999,80854919.78999999,48817.39917,106733.8028,89059.289997375,30641.079207288203,15049.476014571183,1401.934172657552,15181.726556482641,33728.6945107118,14899.707030867201,31751.839651451402,11885.361341614802,2290.6566719683165,19828.872199196183,2.6348768,-0.43834659,0.360977721,2.2336415,0.040867329,2.8025955,0.21973037,291301406300000,1628250800,3910366400,2786483600,115691412.5,8530500000,119748.84579900002,119748845799000.02,34317.822037569,12791.204894066841,21526.62095461632,6841.36669253342,4424.16179765994,2417.2038109837245,57092.62217406121,31148.433668727,25944.189322001523,40893.7566872014,26315.9498721875,,5483.807125931081,14577.80897057118,27915.252332184,1016.8627512673281,9357.4988054375,408.32199554622406,8949.17653989106,593.77185279488,13361.28045012692,2290.6566719683165,8476.39291444224,1.5622194,34148.22182755993,89059289997375,10440.101986680147,14037.728831721472,0.11347942734892445,0.017985111904343237,0.0008875195544223668,47.67697074082193,26.011468804476035,5.7130961445897706,3.694533979129914,34.14960404365158,21.9759528341168,7.814270561859263,0.3409819884457156,0.8491628829342919,11.157753012963484,7.078475669544218,,4.579423784289096,28.658165186136248,10.681693680402601,1.9128841340259872,30641079207288.203,3591.944107295962,1401934172657.552,164.3437281117815,19828872199196.184,2324.4677567781705,33728694510711.8,3953.894204409097,21221.874813903054,35266.972769111206,35266972769111.2,2200.792021187764,2152.800140016512,843.64515963781,761.918849534592,3270.77988884404,2982.8099695794,,5483.807125931081,27915.252332184,1016.8627512673281,19.649495719584,14550.400262533121,8976.5043895311,15049.476014571183,,,,15180.774016831721,6619.989715431981,8279.717318213,4134.2210619672005,,6.2403768976602985,6.104295239942044,2.3921677802091414,2.1604316722129417,9.274342627186796,8.45779984890541,,15.549412652548696,79.15409273980484,2.883328710758961,0.05571642297802813,41.25786570282885,25.453005134008063,30.92772656,11.85954004,48.10078029,Sustainability - Taking the Green Road
SSP1 - 1.9,2060,5464465625,,332888770.5,2870823938,5464506000,332888750,707.6402484,1250.5221,413.87631,342.5171,220858.7952,220858795200000,14395.68,577.2766459,268.0568125,3690.9,2139.423078,,1876.622,184.2755,877.395625,7.837839825,2112.915,181.4907969,6170.391,2479.491,2990.310625,2308984.041,144211593.6,,82002647.04,NaN,-1649998545,5180821375,12368708430,-316956993.3,-1333042387,186258606,4407018066,7602241.488,7225174.221,63767206.690000005,33596395.36,15123669.62,14515230.18,83718704.64,54692.61563,120896.0037,95645.3803495764,37951.30641657641,13186.741235495661,1141.9978483197701,14935.962470982642,35460.3625627118,14791.117213439862,35792.92902320921,13638.248893923721,1829.0562321327043,20318.330057428822,2.4692843,-0.42607472,0.32264724,2.1489704,0.037773585,2.6885328,0.22615336,356291406300000,1647719400,4000073600,2676535200,119347300,8492175781,128479.66008920141,128479660089201.4,40222.3378167334,15553.984882066841,24668.35089855382,6930.714094566841,5514.590458891061,1416.124993454644,54961.2153022704,33926.869169251404,21034.33784412348,40089.1727102014,28246.493958288203,,5231.1792960512,11842.667893571183,33147.518934660606,871.7987418828801,7941.328511391061,165.784773461046,7775.5449565421,723.614730002432,18447.9009805312,1829.0562321327043,8744.82392085354,1.5283713,41955.25569514822,95645380349576.4,11262.765022312531,15129.180483599484,-0.19429632494085086,0.016981701429526732,0.000895205384821273,42.77814501074465,26.406412614803394,5.394405690173024,4.292189483582357,31.20273876998749,21.985187335238205,6.181000561394326,0.12903581263053174,0.6785500064972183,14.358615961252633,6.806387808608886,,4.071601133143779,31.30638560905879,12.106184645311137,1.4236154040747144,37951306416576.41,4468.973252000612,1141997848319.77,134.4764731407024,20318330057428.824,2392.5941456473515,35460362562711.805,4175.651031865023,26007.327320536537,42485.00665464481,42485006654644.805,2972.9300950088405,2965.84791989866,1217.286369106094,1216.9445291104,4258.2550454902,4192.27351492724,,5231.1792960512,33147.518934660606,871.7987418828801,17.215547939094,20102.1162761246,9079.610180349002,13186.741235495661,,,,15075.55376321114,7881.238638319201,6909.878575120661,5002.841174072113,,6.997598280201318,6.980928457909067,2.865214024799995,2.8644094115431984,10.022959582200402,9.867654132681904,,12.313001004271433,78.02168704859234,2.0520150766825127,0.04052146697077628,47.31578940196982,21.371328135019475,37.81310693,11.2845498,66.41382722,Sustainability - Taking the Green Road
SSP1 - 1.9,2070,5473166625,,326584119.1,4050276313,5473212000,326584125,652.1972441,1212.1593,406.78381,344.55001,259777.5879,259777587900000,14604.41,665.2973783,346.0633359,5178.58,2639.026609,,1936,185.4034063,655.326375,8.124930679,1643.717,225.5975938,6299.851,1121.271,2299.043375,2174113.035,135865799,,78378320.34,NaN,-4136923829.0000005,6748824947,14600111380,-2441226653,-1695697875,198470504.79999998,1771717041,7763507.8100000005,7375831.03,63494497.17,32540361.54,14640319.82,13013372.42,76982285.86,59254.58193,131040.6036,100209.472528625,43505.451471,10885.30059156684,869.1940139657661,15211.331613500002,35100.028080000004,15143.243078473663,39595.997398994805,14594.960678736981,1358.4269222962241,21380.407729312505,2.3362047,-0.4134654,0.302464444,2.0564526,0.036674665,2.583887,0.23235522,419291187500000,1683329200,4081151200,2593691000,121221112.5,8298950194.999999,137459.502328625,137459502328625,47747.574281362206,20259.063515571183,27488.511574125,7330.330842037761,6142.32153607552,1188.010390407552,54024.193080431,36837.403247676804,17186.769935516062,39527.670511000004,30525.1068922882,,5738.33504344214,9002.540296470921,35662.1263907894,960.1888570393601,7166.19171350434,169.97482347975003,6996.219246970921,937.2774075991041,22139.71065342102,1358.4269222962241,6846.803271882681,1.4927099,50523.40086974097,100209472528625,12074.957696336074,16563.480813686823,-0.49848760768469713,0.01637144407516233,0.0009354807087139052,39.30189777006113,26.79873171634906,5.332720341525104,4.4684590239465924,28.75586615794741,22.20661822222497,5.21331126048463,0.12365447320869133,0.6985249042614984,16.106351527806005,4.9809603235096835,,4.174564105232593,34.73573923409957,14.738205196711505,0.9882379168292252,43505451471000,5242.283716464695,869194013965.7661,104.73541755792718,21380407729312.504,2576.278592706087,35100028080000.004,4229.453997825806,31302.4637810831,48749.7890553556,48749789055355.6,3986.17387226988,3986.1669944866003,1736.1416158566262,1736.1416022455041,6384.864416220781,6204.56574698196,,5738.33504344214,35662.1263907894,960.1888570393601,20.286100673312003,24064.44421265108,6949.91389881556,10885.30059156684,,,,15191.1883334965,8979.17564722366,6164.0674312500005,5874.211546025022,,8.176802299069566,8.176788190735124,3.5613315452200824,3.5613315172997115,13.097214449422006,12.727369424997201,,11.77099461276896,73.1533963158177,1.9696266909977014,0.04161269426269116,49.36317608538941,14.256295326578547,42.8547627,9.687053711,79.71264983,Sustainability - Taking the Green Road
SSP1 - 1.9,2080,5481933875,,320279377.9,5564746500,5481968000,320279437.5,519.7958102,1180.4579,398.62847,346.6581,294820.8923,294820892300000,15802.23,711.3798604,336.2973283,5959.577,2657.410895,,1990.567,236.2574063,777.018125,7.283624333,1608.656,270.6855938,7206.669,1247.092,2385.674125,2040056.944,125721199,,74407121.66,NaN,-7370205445,9072973656,15589320970,-5286835066,-2083369743.0000002,204281494.1,-1640160034,7995744.6959999995,7581611.176,63336046,30991117.75,13917360.309999999,10974211.690000001,60431514.739999995,62292.56421,137685.1959,101952.494756375,46522.0077175764,8630.859768571181,659.248302953776,16528.12194748698,33468.1105522448,14807.99009916038,41591.38960641841,14804.270401740181,1036.260255674208,22776.22698763368,2.2079923,-0.39177511,0.285536944,1.9480557,0.036537048,2.4673114,0.23876688,475419187500000,1745477000,4139939200,2528707600,121245950,7967387207,140298.393488625,140298393488625,56347.8062448756,27356.8187604375,28990.995415000005,6457.59414107118,5491.52132099132,966.0735675804581,44656.6606141888,30213.821198815403,14442.839990373861,31751.802734755205,24530.00877399132,,6130.36067372906,7221.7945135421005,39272.949751668006,1182.995364173312,6447.263730029081,192.29109133275,6254.971909529081,1165.718692574208,24957.50689932288,1036.260255674208,7019.36348215296,1.4558804,59670.651764270406,101952494756375,12796.226932061418,17609.08436398841,-0.9250467252959255,0.015779476474990905,0.0010035591955384175,31.829773316548653,21.53540068957743,4.60275700989744,3.914172631945751,22.631622462112905,17.4841693935577,4.595393838598592,0.13705865516438748,0.8431995083886873,17.788875751700154,5.003167397438568,,4.369515944761044,40.16283069516696,19.49902495687202,0.7386116333243866,46522007717576.4,5839.054448954485,659248302953.776,82.74334933471948,22776226987633.68,2858.682074296942,33468110552244.797,4200.638136783453,37003.459809380896,52279.48801800141,52279488018001.41,4444.470366684561,4444.465991681061,1634.223559600024,1634.223405155456,5725.750850041461,5457.802855127681,,6130.36067372906,39272.949751668006,1182.995364173312,19.100524169296,27538.16788051668,7144.407634965981,8630.859768571181,,,,16417.238158780023,9301.823855342021,5506.16624381836,6561.685363059751,,8.501365516728464,8.501357148238897,3.1259364266102057,3.1259361311892406,10.952193808917777,10.439663933297117,,11.726129895568587,75.12114452640611,2.2628289010136653,0.03653540785005223,52.67489970642876,13.66579495289997,45.51165503,7.783675781,89.86020179,Sustainability - Taking the Green Road
SSP1 - 1.9,2090,5490764875,,313974711.9,6731205375,5490793000,313974687.5,335.3369921,1149.7759,389.05711,348.81946,326094.7876,326094787600000,16652.92,742.3570649,282.6755089,6356.646,2253.057037,,2050.245,304.9576875,930.3728125,6.159711658,1890.414,316.622,7876.061,1519.415,2820.786813,1907361.984,117079101.6,,70342212.08,NaN,-10567707520,11448356010,16076111720,-8181154877,-2386549481,204924697.9,-5017313965,8115737.233,7678941.384,62943553.029999994,29108898.709999997,13006560.33,8707670.212,44897978.84,64143.62454,140115.9058,101123.501037625,47118.149666711804,7354.3336834622405,481.86982438444005,18754.320559000003,30800.3306402448,13741.91412963362,42016.771891168406,13672.91031054172,735.7428438715821,24254.541973062504,2.0688662,-0.36447469,0.268929694,1.8179727,0.036705084,2.3297694,0.24532005,524875812500000,1771278400,4202474800,2467073000,119400025,7510454102,137720.8306765764,137720830676576.4,62194.068921882004,34645.583272,27548.487749883683,4876.917965420141,4085.8504353444005,791.065085907118,33590.616594694,21301.26456599802,12289.349023138022,22818.141085053823,17037.394271571182,,6194.4995333734405,5780.74626903776,41828.40979603441,1464.9547719628802,5895.55755810894,178.019856860216,5717.537668470921,1361.0277910435843,25981.034401477562,735.7428438715821,8291.84805569536,1.4104881,69886.02891005325,101123501037625,13464.365757950145,18337.217537871908,-1.4070663872622386,0.015588817934300718,0.0010805920817542598,24.390367404607225,15.466988153754247,3.5411621767465915,2.9667628457307313,16.568402160338362,12.370963918727588,4.2808030776070956,0.12926138768236,1.0637132848865687,18.8649997780593,6.020765351879074,,4.4978668099385795,45.1595220681892,25.15638564028247,0.5342277128718461,47118149666711.805,6273.675203495945,481869824384.44006,64.15987872905319,24254541973062.504,3229.4374805650737,30800330640244.8,4100.994456785617,43418.784426518556,52559.98685351141,52559986853511.41,4555.4060443219205,4554.3175628955805,1108.41971312395,1108.41937562368,3587.7693424354006,3386.83042057328,,6194.4995333734405,41828.40979603441,1464.9547719628802,15.014666733946001,29251.0328174742,8525.600989919782,7354.3336834622405,,,,18611.87560893302,8693.828560612841,5048.085569020781,6998.24353357208,,8.66706085185709,8.664989920162656,2.10886603950872,2.108865397384758,6.826046879415667,6.443742898971092,,11.78558044665797,79.58223032401682,2.787205362219397,0.02856672467554643,55.652663877179045,16.220706092795012,42.77290259,6.449535156,93.54528395,Sustainability - Taking the Green Road
