Theater name,Address,City,latitude,longitude,Start Date of Operation,Start Year,End Date of Operation,End Year,Number of seats,Owner and manager names,Body,Additional facts,Works cited
11th St. Playhouse,11th street and Morrison,"Portland, OR",45° 31.01667' N,122° 34.73333' W,1914-10-20,1914,1918-08-01,1918,1400,W. T. Pangle,"11th St. Playhouse, located on 11th and Morrison in Portland Oregon offered a wide range of performances, from vaudeville to boxing matches to economic courses, you name it they had it. Cost of admission ranged from twenty five cents to five dollars depending on the event. Events that costed $5 were operas and lower prices were seen in performances like ""Her Unborn Child."" The newspaper posting of for this theatre mainly showed up on the club activities page and only advertisements for the events coming up were on these pages, not many descriptive text about past performances were found. According to a post from the Oregon Daily Journal, this theatre housed 1400 comfortable seats including floor and balcony seats (4). 

The 11th street playhouse seemed to show many performances of ""Her Unborn Child- The Truth About Birth Control"" (2). There were many advertisements for this ""ladies only"" show in 1917 I found at least three different advertisements on Newspapers.com (2). Other types of shows that occurred at this Playhouse theatre included a home economics course that was done annually and seemed to be done at least three years in a row (3). Another type of performance that took place at this theatre was boxing matches (4). Many newspaper clippings were found for all these types of events and it seemed as though their promotional techniques were used to advertise to all ages men and women, specifically women for the Unborn child performance. They wanted to get the community more involved with their theatre by providing a wide range of shows to attend. Not only did they want to entertain but they wanted to educate with the use of economic classes and ""The Truth About Birth Control,"" they met everyones needs. 

11th St. Playhouse Theatre signed an agreement August 1, 1918 to replace the theatre with the new Alcazar Theatre. The new manager, C. V. Everett made plans to refurnish the lobby and dressing rooms (1). ",NA,"1. ""Playhouse Deal Closed,"" Morning Oregonian, August 01, 1918:12. Historic Oregon Newspaper.

2. ""11th St. Playhouse,"" Oregon Daily Journal, June 04, 1917: 2. Newspapers.com

3. ""The Oregonians Second Annual Free Home Economics School,"" Morning Oregonian, June 02, 1916: 11. Historic Oregon Newspaper.

4. ""The Golden West Athletic League,"" Oregon Daily Journal, December 21, 1916: 15. Newspapers.com"
Acme Theater,"265 Russell St., Portland, Oregon","Portland, OR",45° 32.46667' N,122° 40.13333' W,1910-01-29,1910,1915-04-10,1915,unknown,"O'Hare & Curran, Martin B. Donovan, C. E. Minnick","The exact date of Acme Theater's opening is unknown. However, Polk's Portland City Directories points to the opening year being 1910, as Acme Theater does not appear in the 1910 city directory (1), but does appear in the 1911 city directory (2); Polk's Portland City Directories information, usually, pertains to the year prior, i.e. the 1910 city directory has the census data from 1909. Also, the earliest found newspaper advertisement, a help wanted ad found in The Morning Oregonian, is from January 29, 1910 (8), further pointing to the Acme Theater opening sometime in 1910, more than likely in January of 1910.

Acme Theater's exact closing date is, also, unknown. However, Acme Theater stops appearing in Polk's Portland City Directories 1916 edition (7) and Acme Theaters last found advertisement, an advertisement in The Morning Oregonian for the film serial The Exploits of Elaine, is from April 10, 1915 (9), which points to the Acme Theater closing sometime in 1915, after April 10th of that year. So, it can be assumed that Acme Theater operated from 1910-1915. 
Acme Theater, Portland, Oregon, 1915. Image courtesy of Oregon Historical Society.Acme Theater went through 3 different ownership's in its short amount of time being open. The first owners, according to the 1911 Polk's Portland City Directory edition, were O'hare and Curran (2), no first names were given. They only owned Acme Theater for a year, as the 1912 city directory shows Martin B. Donovan being the manager of the theater (3). Martin B. Donovan appeared to be a prolific theater owner, as he also owned, for a period of time, the Victoria Theater and the Portsmouth Theater (10, 11). Donovan owned Acme Theater for 3 years (3,4,5), he stopped appearing as the owner of Acme Theater in the 1915 city directory. In the 1915 city directory C. E. Minnick appears as the manager of the theater (6), his ownership is short-lived, as Acme theater does not appear in the 1916 city directory, meaning they went out of business under his ownership. 

      
            There doesn't seem to be many advertisements, in the newspapers, for Acme Theater. This could mean that they didn't spend much money on advertisements because they were a smaller theater, they could have used fliers instead to promote their theater, or the management just didn't think that they needed to promote the theater as it could have been in a highly-dense populated area. Acme Theater's sign also appear to be pretty small and not very flashy, which, along with the lack of advertisements, points to the theater possibly being a relatively small theater.

Acme Theater was, primarily, a motion picture theater. In The Morning Oregonian, Acme theater was part of a list of theaters that was showing the film serial The Exploits of Elaine (12); a film serial is an episodic film, telling the story in pieces weekly. Also, in Polk's Portland City Directories Acme theater is listed under the moving picture section, not under the vaudeville theater section (2-6). However, Acme Theater did appear to show at least some vaudeville acts, as the theater did have help wanted ads, from The Morning Oregonian in 1910, that were, specifically, looking for a vaudeville team (13). This makes sense as Acme Theater appears to be a smaller theater, which means that they would, more than likely, show both films and vaudeville acts to increase their audience base.
The Morning Oregonian, Mar. 17, 1915, p. 2. Historic Oregon Newspapers. ",NA,"1. Polk's Portland City and Multnomah County Directory (Portland, Ore. : R.L. Polk, 1910)
, 2. Polk's Portland City and Multnomah County Directory, pg. 106 (Portland, Ore. : R.L. Polk, 1911)
, 3. Polk's Portland City and Multnomah County Directory, pg. 110 (Portland, Ore. : R.L. Polk, 1912)
, 4. Polk's Portland City and Multnomah County Directory, pg. 103 (Portland, Ore. : R.L. Polk, 1913)
, 5. Polk's Portland City and Multnomah County Directory, pg. 164 (Portland, Ore. : R.L. Polk, 1914)
, 6. Polk's Portland City and Multnomah County Directory, pg. 135 (Portland, Ore. : R.L. Polk, 1915)
, 7. Polk's Portland City and Multnomah County Directory (Portland, Ore. : R.L. Polk, 1916)
, 8. Acme Theater help wanted advertisement, The Morning Oregonian, Jan. 29, 1910, p. 14. Historic Oregon Newspapers.
, 9. Acme Theater advertisement, The Morning Oregonian, Apr. 10, 1915, p. 2. Historic Oregon Newspapers. 
, 10. Moving Picture World, Oct. 30, 1915, p. 1008. Media History Digital Library.
, 11. Moving Picture World, Dec. 9, 1916, p. 1503. Media History Digital Library.
, 12. Acme Theater advertisement, The Morning Oregonian, Mar. 17, 1915, p. 2. Historic Oregon Newspapers.
, 13. Acme Theater help wanted advertisement, The Morning Oregonian, Feb, 5, 1910, p. 14. Historic Oregon. Newspapers. 
, 14. The Sunday Oregonian, Jan. 26, 1913, p. 8. Historic Oregon Newspaper. 
, 15. Acme Theater advertisement, The Morning Oregonian, Mar. 24, 1915, p. 2. Historic Oregon Newspapers."
Airdome,"4th St. & Madison Ave., Corvallis, Oregon","Corvallis, OR",44° 33.83333' N,123° 15.75000' W,1916-06-08,1916,1917-05-22,1917,unknown,"Byron J. Taylor, James D. Childs","A variety of events were held at the Airdome, such as plays, speaking events, moving picture screenings, and more.

This open air theater was accompanied by a “summer garden” which served refreshments and food to patrons. The Corvallis Creamery Co. was stationed right next door and served ice cream in conjunction with the theater.
Corvallis Gazette-Times, July 20, 1916, p. 4. Newspapers.com. 

      
            Corvallis Gazette-Times, June 7, 1916, p. 1. Newspapers.com.Corvallis Gazette-Times, June 7, 1916, p. 3. Newspapers.com. 

      
      
  
          
            Furthermore, there were sometimes special events in which free motion picture screenings were used as an incentive for people to attend the event. Here is an example of an ad in which free screenings were being offered at a political speaking engagement:
Corvallis Gazette-Times, Oct. 26, 1916. Newspapers.com.
      
            Corvallis Gazette-Times, July 3, 1916, p. 4. Newspapers.com. 

      
      
  
          
            Corvallis Gazette-Times, May 22, 1917, p. 1. Newspapers.com. 

The Airdome closed in 1917.",An open-air theater,NA
Alameda Theater,"3000 NE Alberta St., Portland, OR","Portland, OR",45° 33.53333' N,122° 38.08333' W,1926-05-06,1926,1937-08-27,1937,600,"Leo Seltzer, Oscar Seltzer, Cecila Seltzer","Pinterest, Alameda Theater Under Construction, Early 1926The Alameda Theater, on the corner of 30th and Alberta Street, was a staple in the Alberta Arts District of Portland Oregon from its opening date in 1926 until it changed names in 1937 (1). The Alameda was built in the late stages of 1925 and had its grand opening on May 06, 1926. Leo, Oscar and Celia Seltzer, siblings who grew up in Portland and started a chain of movie theaters, were the owners of the Alameda Theater. In the below article, from the newspaper: The Oregon Statesmen, ""new incorporations are discussed throughout the article. The Alameda Theater  is introduced in the article as a new incorporation led by Leo, Oscar and Celia Seltzer, the owners of the theater. Also added into the article is the price of $15,000 which seems to be the price of the venture.
The Oregon Statesmen, July 10, 1926, Pg. 3, Oregon Historic Oregon Newspapers.The Alameda Theater was a 600 seat theater that housed performances both on and off of the screen. One of the main things that brought people to the movie theater were the showing of motion pictures. The owners of the theater were the Seltzer siblings, who were graduates from Lincoln High School, who built a chain of theaters in the Portland area, including: the Alameda, the Highway and the Oregon Theater. The brother's father built the first Columbia Theater in Portland, it is easy to say that movie theaters were in their blood (2).

      
            Pinterest, Today's View of the Same Building Where the Alameda Theater StoodOne of the main things that I found while researching the Alameda Theater, or rather lack of things, was that there were no advertisements for the theater itself. I searched diligently to find ads for anything and everything that the theater may have put on during its time in Portland. However, one of the notable details that I did find about the theater was the architect who built the theater in the year 1925.

As shown in the article from the Beaverton Enterprise, Walter E. Kelly is introduced. Kelly was an architect from Everett Washington, found himself in Portland during the year 1925 and was chosen by the Seltzer brothers to be in charge of the building on 30th and Alberta Street, The Alameda Theater. Today, the building is still the same looking as it did back in the day. The exterior still looks much as it did 74 years ago, with its distinctive Mediterranean clay tile roof and stucco walls. The theater has become several different businesses and places throughout the years of Portlands life, including several churches and other theaters; today, the corner of 30th and Alberta street is home to the Alberta Rose Theater which is a great honor to one of Portlands historic buildings like this.
The Beaverton Enterprise, July 7, 1933, Pg. 2, Oregon Historic Newspapers. ",NA,"In Text Citations:

(1) 1928 Portland Oregon City Directory, Paulson Reading Room, Knight Library University of Oregon.

(2) PDX History, Leo Seltzer, http://www.pdxhistory.com/html/leo_seltzer.html.

Photo Citations:

Digital Sanborn Maps, Portland 1924-1928 vol. 5, 1924, Sheet 553, UO Libraries Research Guide.

The Beaverton Enterprise, July 7, 1933, Pg. 2, Oregon Historic Newspapers.

The Oregon Historical Society, https://ohs.org/museum/exhibits/.

The Oregon Statesmen, July 10, 1926, Pg. 3, Oregon Historic Oregon Newspapers.

Pinterest Post, The Alameda Theater under construction, https://www.pinterest.com/pin/459930180665101322/.

Pinterest Post, The Alameda Theater building today, https://www.pinterest.com/pin/459930180661256378/."
Albany Opera House,"222 E. 1st Ave., Albany, Oregon","Albany, OR",44° 38.25000' N,123° 6.18333' W,1902-09-26,1902,1917-03-01,1917,1200 (1),"T. Orin Baker, John W Hogg, Harry Holmes, H.R. Schultz, F.W. Walters","After months of pleading notices in the Albany Democrat, the Albany Grand Opera House opened in September of 1902 (2).
Albany Democrat, Aug. 16, 1901, p. 4. Newspapers.comAlbany Democrat, June 28, 1901, p. 4. Newspapers.com.Many different events occurred in the Albany Opera House. For example, orchestra music, vaudeville acts, choirs, religious services, dramas, plays, moving pictures, etc. Prices ranged from 5-75 cents depending on the content/event ($1.36-$20.33 in 2018) (3).

      
            Newspaper items for the Opera House typically included the who, what, where, and when the event would be held, along with an endorsement of the quality of the event and talent of the performer (4). They often included sayings such as “never attempted before!” to catch readers attention. They provided detailed descriptions of the material that was going to be shown as well as follow-ups on how the audience responded to certain events. Also, they included critic reviews of upcoming events/performers (5).

The Albany Opera House included moving pictures in its programming at least as early as 1906 when they showed the filmed boxing match between Jimmy Britt and Battling Nelson (6). The ticket prices for this show were particular interesting: 25, 50, and 57 cents. It made me wonder about the random pricing of 57 cents. How and why did they come up with the idea of 57 cents? This was the only time I encountered a pricing such as this one.

Harry Holmes, took over management in 1906. He promised to provide the audience with the best vaudeville performances that they had ever witnessed before, along with the most recent moving pictures courtesy of ""special arrangements"" with the Edison Moving Picture company (7).

The Albany Opera House changed ownership in 1917 and became the Family Theatre (8). ",NA,"1. [""Dr. J.L. Hill has bought the Monteith property...:], Albany Democrat, June 21, 1901, p. 3. Newspapers.com.

2. ""Opening of the Albany Grand Opera House,"" Albany Democrat, Sept. 26, 1902, p. 5. Newspapers.com.

3. 2000 Dollars Today | Inflation Calculator, www.officialdata.org/.

4. ""With Mahara,"" Albany Democrat, Feb. 3, 1905, p. 7. Newspapers.com.

5. ""A Fine Thing,"" Albany Democrat, Jan. 6, 1905, p. 7. Newspapers.com.

6. Albany Opera House advertisement, Albany Democrat, Jan. 19, 1906, p. 1. Newspapers.com.

7. Albany Opera House advertisement, Albany Democrat, Apr. 27, 1906, p. 8. Newspapers.com.

8. Family Theatre advertisement, Albany Daily Democrat, Mar. 31, 1917, p. 4. Newspapers.com."
Alcazar,"128 W. Cass St., Roseburg, Oregon","Roseburg, OR",43° 12.50000' N,123° 20.71667' W,1908-08-26,1908,1908-12-31,1908,unknown,"W.M. Rasmus, David Weiser","This short-lived theater featured moving pictures and “illustrated songs.” Theater showings for dramas originally cost 25 cents, and were raised to 35 and 50 cents for special events. Programs changed three times a week, on Mondays, Wednesdays and Fridays, with a matinee every afternoon at 2:30 pm.

The owners promoted the theater with ads and articles in the Roseburg Review newspaper, touting “extra fine showings” in order to attract audiences to the newly opened theater.

The space on W. Cass St. in downtown Roseburg was formerly occupied by the Vitagraph, which is described as located in the Matthews Building at Cass and Rose Streets. The space seems to have continued as a moving picture venue, at least through 1912. Sanborn Fire Insurance Maps are only available for Roseburg for this time period for 1903 and 1912.
Likely location of the Alcazar theater on W. Cass and Rose St., Roseburg. Digital Sanborn Maps, Roseburg, Oregon, 1912, Sheet 7. 

      
            Roseburg Review, Aug. 26, 1908, p. 3. Newspapers.com ",Formerly the Vitagraph theater,NA
Alhambra,"1369 1/2 Hawthorne Ave., Portland, Oregon","Portland, OR",45° 30.73333' N,122° 36.76667' W,1913-01-01,1913,1980-01-01,1980,130,Stephen Parker,"The Alhambra theater was a lively fixture in its community of southeast Portland, for better or worse. One evening the house could be packed with organized mothers hellbent on doing their civic damnedest to raise money for the children during a violin-laced PTA benefit show (so long as the musicians are not on strike). Another day, you might find yourself nonplussed as a charismatic street urchin robs you before making a swift getaway via a passing streetcar.
""Woman Robbed of Watch,"" Morning Oregonian, 21 Dec, 1916.More often than not, however, in those early days of the Alhambra, you were likely to be a local neighborhood schmoe wanting to see that latest picture from Paramount that you’d otherwise have to go downtown to see, at one of the big movie palaces. That was the success of the Alhambra theater, its ability to have one foot in the neighborhood, and one foot in Hollywood.
""Moving Picture Benefit a Success,"" Oregon Daily Journal, 28 Feb, 1914.Most of the advertising from this time showed the Alhambra as part of a collective theatre in-group, established likely by the film exchanges of the day, such as Pathe Pictures, which would regularly promote the Alhambra as a second showing theater. However, there is evidence that the Alhambra was organized with other theaters beyond Pathe and Paramount’s advertisements.

      
            ""East Side's Favorite Theatre"", Oregon Daily Journal, 16 Aug, 1914.In 1921, The Oregon Daily Journal photographed a meeting during Associated First National Pictures, Inc.’s national convention that year. Pictured as being in attendance was Stephen Parker, owner of the Alhambra. There is a bit of a chicken and the egg situation here, because it is unclear which came first, participation with prominent film exchanges leading to an invite into the AFNP, or vice versa, but what is clear is that the Alhambra theater, while being a key component to its neighborhood, was also highly connected outside of it.

It was fairly difficult to determine the exact year that the Alhambra came into being, seeing as there is no mention of the theatre between 1913 and 1922 in Polk’s Portland City Directories of those same years. There was also very little information in the newspapers about the Theatre, save for block-booking advertisements and a few public notices for events or minor criminality. The only time I was able to find mention of an owner or ownership was in the caption that accompanied Parker’s photograph at the AFNP national convention. Also found more success using Newspapers.com, rather than Historic Oregon Newspapers, which was mostly the same series of recycled adverts over and over.
AFNP 1921 National Convention, Oregon Daily Journal, 1921.","Worked closely with National Film Exchanges and Studios (i.e. Pathe Pictures and Paramount) , Changed names (Sabala's, Mt. Tabor Legacy and Mt. Tabor Theater), Exhibited soft-porn in the 1980s as the Mt. Tabor Theater, Currently operates as an arcade ""Quarterworld""","""Map Display, Portland 1924-1928 vol. 9, 1924, Sheet 953."" Sanborn Maps. http://sanborn.umi.com.libproxy.uoregon.edu/browse/or/7439/36249/37970/506487
, “Calendar For Today,” Morning Oregonian, 27 Feb, 1914, pg 12. https://oregonnews.uoregon.edu/lccn/sn83025138/1914-02-27/ed-1/seq-12/
, “Under the Auspice…” Morning Oregonian, 12 May, 1914, pg10.https://oregonnews.uoregon.edu/lccn/sn83025138/1914-05-12/ed-1/seq-10/
, “Help Wanted—Male or Female,” Morning Oregonian, 23 July, 1921, pg16. https://oregonnews.uoregon.edu/lccn/sn83025138/1921-07-23/ed-1/seq-16/
, “Woman Robbed of Watch,” Morning Oregonian, 21 Dec, 1916, pg17. https://oregonnews.uoregon.edu/lccn/sn83025138/1916-12-21/ed-1/seq-17/
, “Stolen Watch Located,” Oregon Daily Journal, 22 Jan, 1918, pg16. https://universityoforegon-newspapers-com.libproxy.uoregon.edu/image/78478598/

“Association Notes,” Oregon Daily Journal, 24 Feb, 1914, pg8. https://universityoforegon-newspapers-com.libproxy.uoregon.edu/image/77159913/

“Moving Picture Benefit a Success,” Oregon Daily Journal, 28 Feb, 1914, pg3. https://universityoforegon-newspapers-com.libproxy.uoregon.edu/image/77160049/

“New Membership,” Oregon Daily Journal, 23 April, 1922, pg48. https://universityoforegon-newspapers-com.libproxy.uoregon.edu/image/79339543/

""East Side's Favorite Theatre"", Oregon Daily Journal, 16 Aug, 1914, pg3. https://universityoforegon-newspapers-com.libproxy.uoregon.edu/image/77141423

“Musicians Secure Backing of Central Labor Organization,” Oregon Daily Journal, 21 Aug, 1915, pg10.https://universityoforegon-newspapers-com.libproxy.uoregon.edu/image/78478383/
, “AFNP 1921 National Convention,” Oregon Daily Journal, 1921, pg3. https://universityoforegon-newspapers-com.libproxy.uoregon.edu/image/79327067

 

“Photoplay Presentations,” Oregon Daily Journal, 05 Dec, 1915, pg34. https://oregonnews.uoregon.edu/lccn/sn85042444/1915-12-05/ed-1/seq-34/

 

“Suburban Theatres Offer Strong Billing,” Oregon Daily Journal, 12 Dec, 1915, pg33. https://oregonnews.uoregon.edu/lccn/sn85042444/1915-12-12/ed-1/seq-33/
, “Thief Was Cool One,” Oregon Daily Journal, 11 Nov, 1916, pg11. https://universityoforegon-newspapers-com.libproxy.uoregon.edu/image/78321307/

 

“Mt. Tabor Theater to Reopen as Alhambra Theatre” Portland Mercury, 19 March, 2013. https://www.portlandmercury.com/BlogtownPDX/archives/2013/03/19/mt-tabor-theater-to-reopen-as-alhambra-theatre

 

“Quarterworld: Portland’s Got a New Arcade!” Portland Mercury, 8 April, 2016. https://www.portlandmercury.com/blogtown/2016/04/08/17842087/quarterworld-portlands-got-a-new-arcade"
Aloha,"561 Willamette St., Eugene, Oregon","Eugene, OR",44° 3.03333' N,123° 5.55000' W,1909-01-21,1909,1912-09-30,1912,600,"J.J. Bryan, Aloha Amusement Co., Ray Walker, E.L. Campbell","The Aloha Theatre was part of the great movie theater land rush in Eugene between 1909-1912. Manager Ray M. Walker advertised the Aloha as “The Home of Great Vaudeville,” but movies were a regular part of the programming. For example, one week featured two separate contortionists, a musical novelty act, a “comedy playlett,” and 2,000 feet of “classy pictures,” along with a live orchestra. The Aloha also featured the filmed prize fights that were very popular at the time, such as the famous match between Jack Johnson and Stanley Ketchel in 1909.

The Aloha resided at 561 Willamette St., a long and narrow space on a busy block with a bank, two jewelers, and a barber.

General admission to the Aloha ranged from 10-20¢ for adults and 5-10¢ for children, with reduced prices for matinee shows. The Aloha ran regular ads in the Eugene Daily Guard, and offered a special admission coupon for reduced-price admission in 1909.

Local theater entrepreneur J.J. (Joseph) Bryan purchased the Aloha in early 1912, taking on E.L. Campbell as co-owner in April. They changed the name to the Savoy in October 1912 and continued with Ray Walker as manager.

      
            Aloha Theatre, 561 Willamette St., Eugene, Oregon, 1912. Digital Sanborn Maps. ",Boasted of six exits and 10 fans for ventilation,NA
Alta,"117 E. Alta St., Pendleton, Oregon","Pendleton, OR",45° 40.31667' N,118° 47.18333' W,1913-09-06,1913,1955-01-01,1955,550,"C.E. Oliphant, Charles M. Stype, E. L. Cooper, John Greulich, Mr. Deery, Mr. Chandler","Opening in 1913, by manager and owner C.E. Oliphant, the Alta Theater quickly became an exhibition juggernaut in Pendleton by actively seeking out quality performances for the theater and implementing high efficient promotional techniques. Competition was prolific seeing that many well established theaters had already inhabited the Pendleton area such as The Cosy, Pastime, Oregon, and the Grand. However, Mr. Oliphant was no rookie in the exhibition world. He had previously owned a theater and was well equipped with the knowledge of how to run and promote a business, an established network of connections throughout the industry, and a wife who was an entertainer and performed at the theater.

Upon opening, the Alta hit the ground running throughout 1913 by actively finding quality performers and acts bringing attention rapidly to the theater in its preliminary stages. With so many quality acts so early, the theater achieved a reputation of “high class” very early and earn a level of prestige that could almost be seen as haughty.
East Oregonian, Sept. 25, 1914, p. 9. Historic Oregon Newspapers.In fact, one of the first and most efficient moves by the management was signing with General Film Co.’s “exclusive services” (1). This enabled the theater to receive the company’s top of the line films before other exhibitors. One of the pioneer theaters, the Pastime, actually responded with an article in the East Oregonian trying to denote the level of prestige that this title gave by giving a more banal description of what the program entails (2). 

      
            Complementing the excellent acts, Mr. Oliphant promoted the theater relentlessly throughout the first couple of years. Within the first couple of months of business, Oliphant had the city place one of its two new public water fountains in front of the Alta, a subtle technique that seemed to work (4). Oliphant made sure that the theater was well known for its quality performances, but he also utilized the venue with several events that were city wide and open to the public, showing the quality of the theater. Memorials, club benefits, and other events were used to show and tell the theater letting everyone know that they were efficient and well equipped to entertain anyone (5).

Everything stated was done in 1913, its opening year! The outstanding management by Mr. Oliphant did not go unnoticed. Late in 1913, a convention for motion picture exhibitors of Oregon was called in Portland and the top managers from theaters throughout the state which Mr. Oliphant was promptly invited to as the Pendleton representative (6). The following year, the Alta progressed just as efficiently if not more efficiently. To further the quality of the theater, Oliphant purchased a $3500 Fotoplayer, which is essentially a hybrid of several instruments including a piano, organ and a few others (7). It required a musician with great talent to be used effectively properly, which only attracted more patrons to the theater. Along with this, the theater started to portray a new approach to advertising: sex appeal. Newspapers began to regard the quality of the female performers the Alta had to show and how they were a more sophisticated type of beauty that dressed modestly and had a type of class not normally found in performing women (8). In March 1914, Oliphant collaborated with some of the local clothing shops and had a “style show” with the latest fashion and “pretty girls” to show them off (9). This was a strategic move seeing as some of the main competitors in the Pendleton areas, such as the Orpheum and the Pastime, had reputations of securing “clean” content for their viewers. The Alta was able to give their viewers what its competitors could not, in a relatively dignified and classy manor both upholding its reputation and rendering itself a sort of edgy and ambitious institution.

One of the last moves that really put the Alta on top, was in May of 1914 when the managers of Alta signed a contract with Pathe to receive weekly motion pictures of current events (10). By doing this, it allowed the Alta to have fresh stories weekly keeping their frequent viewers informed with the most recent events as well as highly entertained. By this time the Alta had become a seemingly unstoppable force in the exhibition industry of Pendleton  in a mere span of two years, and continued to be one of the most dominant theaters in Pendleton for many years.",NA,"C. E. Oliphant, “Big Changes in Class of Pictures at Alta,” East Oregonian, Dec. 15, 1913, p. 5. Historic Oregon Newspapers.
	C.G. Matlock, ""Good Pictures to be at Pastime Says Matlock,"" East Oregonian, Dec. 20, 1913, p. 5. Historic Oregon Newspapers.
	 ""Drinking Founts To Soon Be Ready,"" East Oregonian, Sept. 8, 1913, p. 5. Historic Oregon Newspapers.
	 “Benefit for Coffee Club,"" East Oregonian, Dec. 4, 1914, p. 8. Historic Oregon Newspapers. 
	“Film Men to Convene,"" Sunday Oregonian, Nov. 23, 1913, p. 4. Historic Oregon Newspapers.
	""Pendleton Has Fine Photo-Play Theatres,"" East Oregonian, Sept. 26, 1914, p. 9. Historic Oregon Newspapers.
	“Real Girls at Alta,"" East Oregonian, Sept. 26, 1914, p. 8. Historic Oregon Newspapers.
	 ""Style Show Arranged at Alta Theater Saturday,"" East Oregonian, Mar. 5, 1914, p. 5. Historic Oregon Newspapers.
	""Alta Gets New Service,"" East Oregonian, May 11, 1914, p. 6. Historic Oregon Newspapers."
American,"858 Union Ave, Portland, Oregon","Portland, OR",45° 32.56667' N,122° 49.88333' W,1903-01-01,1903,1921-12-18,1921,Unknown,Manager - Paul F. Noble,"[American Theater news article], The Oregon Daily Journal, June 24, 1903: 3. Historic Oregon Newspapers.The American Theatre started off as a ""high-class polite vaudeville1"", possibly before 1903.  It's a theater that's been around for quite some time and was the subject of flattering review in the June 24th, 1903 issue of The Oregon Daily Journal.  The American would show films such as Neal of the Navy.  Neal of the Navy was a film about a Navy cadet who gets thrown out for cheating while his ex searches for buried treasure.  The film was produced by Balboa Amusement Producing Company.  It was a black and white silent film, as was appropriate for the era, and was filmed in Arch Beach in Laguna Beach, California.  As you can see in the below ad, this movie came to the majority of theaters in the Portland area. Eventually, the American came under management other than Paul F. Noble, who would go on to manage the Liberty theater.  The American theater seems to had a rather tumultuous run and was probably hindered further by the fact that there were  two theaters in Portland named the American. 
American Theater, advertisement, Morning Oregonian, November 4, 1915: 6. Historic Oregon Newspapers 

      
            [American Theater news article], The Sunday Oregonian, December 18, 1921: 4. Historic Oregon Newspapers.Unfortunately, the construction of the American Theater did not match the rave review it received in 1903.  On December 18, 1921, the theater collapsed, resulting in the arrest of the contractors responsible.  The incident results were: ""...Seven persons were killed and 26 were badly injured2"". ",NA,"1. [American Theater news article], The Oregon Daily Journal, June 24, 1903: 3. Historic Oregon Newspapers.

2. [American Theater news article], The Sunday Oregonian, December 18, 1921: 4. Historic Oregon Newspapers.

3. “Neal of the Navy.” IMDb. IMDb.com, September 2, 1915. https://www.imdb.com/title/tt0005802/.

4. ""Noble to Manage Liberty,"" Morning Oregonian, May 28, 1919: 7. Historic Oregon Newspapers.

5. American Theater, advertisement, Morning Oregonian, November 4, 1915: 6. Historic Oregon Newspapers

 "
