Year,Mean number of employees,Number of employees that left,Accumulated number of employees that left
1,498,0,0
2,525,3,3
3,533,7,10
4,540,1,11
5,540,2,13
6,538,0,13
7,538,1,14
8,530,16,30
9,515,17,47
10,495,31,78
11,460,47,125
12,416,25,150
13,413,2,152
14,427,3,155
15,432,1,156
16,431,0,156
17,431,0,156
18,431,0,156
19,431,1,157
20,436,2,159
21,446,1,160
22,451,0,160
23,460,0,160
24,460,2,162
25,457,5,167
26,453,3,170
27,472,9,179
28,466,12,191
29,457,25,216
30,440,13,229
31,441,16,245
32,442,4,249
33,440,2,251
34,450,2,253
35,462,1,254
36,461,0,254
37,460,4,258
38,466,1,259
39,470,0,259
40,469,4,263
41,466,0,263
42,466,1,264
43,470,0,264
44,477,1,265
45,484,0,265
46,484,0,265
47,484,0,265
48,483,1,266
49,483,1,267
50,482,1,268
51,479,4,272
52,476,1,273
53,476,0,273
54,476,0,273
55,476,0,273
56,476,0,273
57,476,0,273
58,475,2,275
59,473,1,276
60,472,2,278
61,470,4,282
62,470,0,282
63,472,0,282
64,473,0,282
65,474,0,282
66,474,0,282
67,474,0,282
68,474,0,282
69,474,0,282
70,474,1,283
71,472,3,286
72,468,8,294
73,460,10,304
74,459,19,323
75,449,10,333
76,438,18,351
77,434,22,373
78,422,5,378
79,425,8,386
80,431,6,392
81,452,4,396
82,444,10,406
83,443,5,411
84,446,6,417
85,443,2,419
86,441,4,423
87,436,13,436
88,439,16,452
89,445,14,466
90,446,2,468
91,451,2,470
92,458,0,470
93,457,2,472
94,458,1,473
95,458,0,473
96,458,1,474
97,457,0,474
98,457,1,475
99,456,2,477
100,457,0,477
101,457,0,477
102,468,0,477
103,478,0,477
104,489,0,477
105,499,0,477
106,499,0,477
107,499,0,477
108,499,0,477
109,499,0,477
110,499,1,478
111,497,2,480
112,509,3,483
113,506,1,484
114,504,6,490
115,494,16,506
116,485,5,511
117,483,9,520
118,481,8,528
119,482,4,532
120,485,2,534
121,483,0,534
122,485,0,534
123,491,3,537
124,489,4,541
125,487,2,543
126,486,3,546
127,481,3,549
128,479,1,550
129,479,1,551
130,477,3,554
131,474,6,560
132,464,11,571
133,457,3,574
134,452,11,585
135,448,18,603
136,449,19,622
137,439,28,650
138,434,21,671
139,418,7,678
140,412,15,693
141,411,7,700
142,400,18,718
143,393,6,724
144,391,1,725
145,396,0,725
146,411,0,725
147,420,0,725
148,431,2,727
149,442,0,727
150,451,0,727
151,452,2,729
152,458,0,729
153,462,0,729
154,462,0,729
155,462,0,729
156,461,1,730
157,461,1,731
158,460,0,731
159,461,0,731
160,463,0,731
