Month,Total number of employees,Number of employees that left,Run
0,471,6,1
1,468,2,1
2,466,4,1
3,462,4,1
4,458,4,1
5,454,1,1
6,453,5,1
7,448,5,1
8,444,5,1
9,439,6,1
10,435,10,1
11,428,7,1
12,439,4,1
13,455,3,1
14,456,4,1
15,454,2,1
16,452,3,1
17,452,1,1
18,453,2,1
19,451,3,1
20,448,6,1
21,446,3,1
22,443,8,1
23,435,6,1
24,429,12,1
25,422,8,1
26,436,7,1
27,437,2,1
28,438,2,1
29,436,2,1
30,434,7,1
31,427,6,1
32,421,1,1
33,420,6,1
34,414,4,1
35,413,6,1
36,430,3,1
37,432,5,1
38,430,2,1
39,443,4,1
40,439,4,1
41,437,5,1
42,434,2,1
43,432,1,1
44,431,3,1
45,430,3,1
46,443,3,1
47,440,7,1
48,433,9,1
49,424,9,1
50,428,4,1
51,438,5,1
52,438,6,1
53,436,7,1
54,429,5,1
55,424,6,1
56,421,4,1
57,419,5,1
58,423,2,1
59,421,6,1
60,415,4,1
61,423,6,1
62,437,9,1
63,449,2,1
64,447,2,1
65,445,10,1
66,436,4,1
67,437,9,1
68,437,4,1
69,441,2,1
70,441,3,1
71,440,3,1
72,439,4,1
73,438,9,1
74,433,5,1
75,428,4,1
76,424,4,1
77,420,6,1
78,414,2,1
79,415,0,1
80,415,2,1
81,413,1,1
82,441,3,1
83,462,2,1
84,462,3,1
85,462,2,1
86,461,0,1
87,478,1,1
88,479,1,1
89,480,3,1
90,480,1,1
91,495,2,1
92,496,1,1
93,503,0,1
94,503,1,1
95,502,3,1
96,499,3,1
97,496,1,1
98,495,3,1
99,492,5,1
100,487,2,1
101,485,4,1
102,501,2,1
103,499,2,1
104,497,3,1
105,494,1,1
106,493,4,1
107,489,0,1
108,489,4,1
109,485,7,1
110,478,6,1
111,480,3,1
112,494,7,1
113,491,2,1
114,491,3,1
115,491,0,1
116,492,1,1
117,491,2,1
118,489,0,1
119,489,3,1
120,486,1,1
0,480,4,2
1,476,5,2
2,471,7,2
3,464,2,2
4,462,3,2
5,459,5,2
6,454,8,2
7,446,3,2
8,443,3,2
9,440,9,2
10,453,4,2
11,453,2,2
12,455,3,2
13,455,4,2
14,454,2,2
15,460,2,2
16,458,0,2
17,463,2,2
18,461,2,2
19,459,4,2
20,455,1,2
21,454,3,2
22,451,1,2
23,450,1,2
24,449,6,2
25,443,6,2
26,445,6,2
27,446,7,2
28,453,2,2
29,454,2,2
30,467,4,2
31,469,1,2
32,471,2,2
33,472,5,2
34,471,0,2
35,471,1,2
36,470,3,2
37,478,3,2
38,478,2,2
39,476,2,2
40,492,3,2
41,493,2,2
42,491,2,2
43,491,2,2
44,490,0,2
45,490,8,2
46,482,2,2
47,480,3,2
48,477,3,2
49,474,4,2
50,470,3,2
51,468,3,2
52,465,2,2
53,483,5,2
54,479,3,2
55,476,5,2
56,471,5,2
57,467,1,2
58,468,1,2
59,489,2,2
60,489,3,2
61,486,3,2
62,483,4,2
63,479,5,2
64,474,9,2
65,465,7,2
66,462,7,2
67,455,2,2
68,453,7,2
69,455,4,2
70,452,6,2
71,446,5,2
72,441,0,2
73,453,1,2
74,485,3,2
75,483,0,2
76,483,2,2
77,487,2,2
78,485,1,2
79,484,3,2
80,481,0,2
81,481,1,2
82,480,1,2
83,479,4,2
84,475,3,2
85,472,2,2
86,470,3,2
87,467,5,2
88,462,3,2
89,459,4,2
90,455,8,2
91,447,1,2
92,450,4,2
93,449,4,2
94,470,1,2
95,470,2,2
96,470,0,2
97,470,3,2
98,467,3,2
99,464,6,2
100,458,2,2
101,457,4,2
102,453,3,2
103,452,3,2
104,450,2,2
105,448,7,2
106,445,5,2
107,443,4,2
108,439,5,2
109,450,5,2
110,465,2,2
111,466,6,2
112,464,5,2
113,459,5,2
114,454,4,2
115,450,1,2
116,449,7,2
117,442,3,2
118,439,1,2
119,438,4,2
120,434,2,2
0,473,1,3
1,472,1,3
2,471,4,3
3,468,12,3
4,467,5,3
5,486,2,3
6,486,4,3
7,483,3,3
8,480,8,3
9,472,4,3
10,468,2,3
11,478,2,3
12,494,1,3
13,493,1,3
14,492,2,3
15,490,5,3
16,486,3,3
17,484,4,3
18,480,7,3
19,473,9,3
20,468,7,3
21,467,5,3
22,464,3,3
23,463,2,3
24,461,4,3
25,457,2,3
26,455,4,3
27,451,1,3
28,458,5,3
29,479,1,3
30,478,0,3
31,495,3,3
32,493,0,3
33,493,1,3
34,492,3,3
35,489,2,3
36,490,1,3
37,489,1,3
38,506,1,3
39,513,0,3
40,513,0,3
41,513,1,3
42,512,1,3
43,520,0,3
44,522,0,3
45,522,0,3
46,522,0,3
47,522,0,3
48,522,0,3
49,522,1,3
50,521,1,3
51,520,1,3
52,519,1,3
53,518,1,3
54,517,2,3
55,515,3,3
56,512,2,3
57,510,2,3
58,508,2,3
59,506,1,3
60,505,3,3
61,502,2,3
62,501,3,3
63,498,2,3
64,496,3,3
65,493,7,3
66,486,7,3
67,479,5,3
68,474,4,3
69,470,4,3
70,469,3,3
71,466,3,3
72,479,4,3
73,475,3,3
74,472,3,3
75,471,3,3
76,468,4,3
77,465,0,3
78,465,2,3
79,463,0,3
80,463,5,3
81,458,3,3
82,472,4,3
83,473,3,3
84,493,1,3
85,495,1,3
86,496,0,3
87,496,4,3
88,496,2,3
89,494,2,3
90,492,6,3
91,486,2,3
92,484,1,3
93,483,4,3
94,479,2,3
95,477,4,3
96,473,7,3
97,466,6,3
98,460,0,3
99,460,4,3
100,456,2,3
101,488,0,3
102,488,2,3
103,486,7,3
104,479,4,3
105,475,5,3
106,470,8,3
107,479,3,3
108,479,5,3
109,474,8,3
110,466,4,3
111,466,3,3
112,465,7,3
113,458,0,3
114,458,1,3
115,457,4,3
116,463,6,3
117,479,2,3
118,478,4,3
119,474,0,3
120,474,3,3
0,437,9,4
1,428,6,4
2,434,7,4
3,432,8,4
4,430,4,4
5,429,5,4
6,427,4,4
7,438,3,4
8,435,7,4
9,428,4,4
10,424,4,4
11,420,3,4
12,419,6,4
13,413,6,4
14,437,9,4
15,452,2,4
16,462,4,4
17,462,6,4
18,457,3,4
19,454,4,4
20,450,3,4
21,447,3,4
22,444,4,4
23,457,2,4
24,455,2,4
25,455,4,4
26,451,4,4
27,447,1,4
28,465,2,4
29,465,2,4
30,464,1,4
31,464,3,4
32,461,1,4
33,462,2,4
34,461,0,4
35,461,1,4
36,460,0,4
37,463,0,4
38,477,2,4
39,477,1,4
40,476,3,4
41,475,1,4
42,474,2,4
43,472,2,4
44,477,1,4
45,478,1,4
46,478,0,4
47,478,1,4
48,477,3,4
49,474,2,4
50,472,1,4
51,471,1,4
52,470,1,4
53,469,2,4
54,467,2,4
55,465,1,4
56,464,6,4
57,458,5,4
58,455,2,4
59,453,7,4
60,446,5,4
61,448,9,4
62,439,8,4
63,432,4,4
64,428,4,4
65,431,5,4
66,427,5,4
67,426,6,4
68,420,4,4
69,436,3,4
70,442,0,4
71,442,2,4
72,440,5,4
73,435,2,4
74,433,1,4
75,432,3,4
76,429,1,4
77,446,1,4
78,445,0,4
79,445,1,4
80,444,2,4
81,442,6,4
82,443,1,4
83,443,2,4
84,442,1,4
85,444,0,4
86,446,1,4
87,446,0,4
88,446,1,4
89,452,0,4
90,469,0,4
91,492,0,4
92,492,0,4
93,492,2,4
94,490,1,4
95,490,0,4
96,490,0,4
97,490,0,4
98,490,0,4
99,490,1,4
100,489,1,4
101,488,1,4
102,487,1,4
103,486,3,4
104,483,0,4
105,495,3,4
106,493,0,4
107,494,2,4
108,492,3,4
109,489,4,4
110,485,4,4
111,481,1,4
112,487,2,4
113,487,2,4
114,506,2,4
115,505,1,4
116,504,0,4
117,504,2,4
118,502,1,4
119,501,3,4
120,498,4,4
0,470,2,5
1,468,5,5
2,466,2,5
3,474,3,5
4,472,1,5
5,471,3,5
6,468,0,5
7,468,3,5
8,465,3,5
9,462,1,5
10,494,3,5
11,491,3,5
12,488,6,5
13,482,4,5
14,482,2,5
15,481,5,5
16,481,1,5
17,480,0,5
18,480,1,5
19,480,2,5
20,481,3,5
21,480,5,5
22,480,0,5
23,484,0,5
24,484,0,5
25,485,1,5
26,484,1,5
27,484,3,5
28,482,1,5
29,481,2,5
30,479,3,5
31,476,3,5
32,473,3,5
33,489,0,5
34,489,1,5
35,488,1,5
36,488,0,5
37,488,0,5
38,488,0,5
39,488,2,5
40,486,3,5
41,483,2,5
42,481,5,5
43,477,2,5
44,490,3,5
45,489,1,5
46,490,0,5
47,490,1,5
48,489,0,5
49,489,0,5
50,495,1,5
51,494,3,5
52,491,3,5
53,488,0,5
54,488,3,5
55,485,3,5
56,501,3,5
57,498,3,5
58,496,4,5
59,495,2,5
60,495,1,5
61,494,1,5
62,493,3,5
63,490,3,5
64,487,8,5
65,479,1,5
66,478,5,5
67,473,4,5
68,469,7,5
69,479,5,5
70,474,6,5
71,468,6,5
72,471,11,5
73,465,4,5
74,475,4,5
75,471,1,5
76,472,6,5
77,470,1,5
78,470,3,5
79,469,2,5
80,469,1,5
81,468,2,5
82,484,3,5
83,482,1,5
84,481,1,5
85,494,2,5
86,494,1,5
87,494,2,5
88,492,3,5
89,489,1,5
90,488,3,5
91,485,2,5
92,486,0,5
93,486,2,5
94,484,7,5
95,483,1,5
96,483,1,5
97,482,1,5
98,482,2,5
99,504,2,5
100,505,1,5
101,505,2,5
102,506,0,5
103,506,1,5
104,506,1,5
105,505,0,5
106,505,1,5
107,504,0,5
