"Notes"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Cut/Pierce"	"GRINJ-001"	"1999"	"1999"	217	76244208	0.3	0.1%
	"Cut/Pierce"	"GRINJ-001"	"2000"	"2000"	214	76667617	0.3	0.1%
	"Cut/Pierce"	"GRINJ-001"	"2001"	"2001"	208	76893883	0.3	0.1%
	"Cut/Pierce"	"GRINJ-001"	"2002"	"2002"	212	77221939	0.3	0.1%
	"Cut/Pierce"	"GRINJ-001"	"2003"	"2003"	224	77449945	0.3	0.1%
	"Cut/Pierce"	"GRINJ-001"	"2004"	"2004"	240	77740096	0.3	0.1%
	"Cut/Pierce"	"GRINJ-001"	"2005"	"2005"	230	78000867	0.3	0.1%
	"Cut/Pierce"	"GRINJ-001"	"2006"	"2006"	260	78282680	0.3	0.1%
	"Cut/Pierce"	"GRINJ-001"	"2007"	"2007"	239	78601434	0.3	0.1%
	"Cut/Pierce"	"GRINJ-001"	"2008"	"2008"	222	78985529	0.3	0.1%
	"Cut/Pierce"	"GRINJ-001"	"2009"	"2009"	210	79276804	0.3	0.1%
	"Cut/Pierce"	"GRINJ-001"	"2010"	"2010"	202	79323403	0.3	0.1%
	"Cut/Pierce"	"GRINJ-001"	"2011"	"2011"	181	78848612	0.2	0.1%
	"Cut/Pierce"	"GRINJ-001"	"2012"	"2012"	165	78561723	0.2	0.1%
	"Cut/Pierce"	"GRINJ-001"	"2013"	"2013"	154	78306304	0.2	0.1%
	"Cut/Pierce"	"GRINJ-001"	"2014"	"2014"	148	78187252	0.2	0.0%
	"Cut/Pierce"	"GRINJ-001"	"2015"	"2015"	131	78147652	0.2	0.0%
	"Cut/Pierce"	"GRINJ-001"	"2016"	"2016"	166	78134923	0.2	0.1%
	"Cut/Pierce"	"GRINJ-001"	"2017"	"2017"	142	78213917	0.2	0.0%
	"Cut/Pierce"	"GRINJ-001"	"2018"	"2018"	132	78134457	0.2	0.0%
	"Cut/Pierce"	"GRINJ-001"	"2019"	"2019"	112	77842364	0.1	0.0%
	"Cut/Pierce"	"GRINJ-001"	"2020 "	"2020"	140	77519345	0.2	0.0%
	"Drowning"	"GRINJ-002"	"1999"	"1999"	1263	76244208	1.7	0.4%
	"Drowning"	"GRINJ-002"	"2000"	"2000"	1281	76667617	1.7	0.4%
	"Drowning"	"GRINJ-002"	"2001"	"2001"	1175	76893883	1.5	0.4%
	"Drowning"	"GRINJ-002"	"2002"	"2002"	1159	77221939	1.5	0.4%
	"Drowning"	"GRINJ-002"	"2003"	"2003"	1047	77449945	1.4	0.3%
	"Drowning"	"GRINJ-002"	"2004"	"2004"	1048	77740096	1.3	0.3%
	"Drowning"	"GRINJ-002"	"2005"	"2005"	1113	78000867	1.4	0.4%
	"Drowning"	"GRINJ-002"	"2006"	"2006"	1074	78282680	1.4	0.4%
	"Drowning"	"GRINJ-002"	"2007"	"2007"	1052	78601434	1.3	0.3%
	"Drowning"	"GRINJ-002"	"2008"	"2008"	1031	78985529	1.3	0.3%
	"Drowning"	"GRINJ-002"	"2009"	"2009"	987	79276804	1.2	0.3%
	"Drowning"	"GRINJ-002"	"2010"	"2010"	1047	79323403	1.3	0.3%
	"Drowning"	"GRINJ-002"	"2011"	"2011"	964	78848612	1.2	0.3%
	"Drowning"	"GRINJ-002"	"2012"	"2012"	991	78561723	1.3	0.3%
	"Drowning"	"GRINJ-002"	"2013"	"2013"	898	78306304	1.1	0.3%
	"Drowning"	"GRINJ-002"	"2014"	"2014"	904	78187252	1.2	0.3%
	"Drowning"	"GRINJ-002"	"2015"	"2015"	897	78147652	1.1	0.3%
	"Drowning"	"GRINJ-002"	"2016"	"2016"	995	78134923	1.3	0.3%
	"Drowning"	"GRINJ-002"	"2017"	"2017"	928	78213917	1.2	0.3%
	"Drowning"	"GRINJ-002"	"2018"	"2018"	903	78134457	1.2	0.3%
	"Drowning"	"GRINJ-002"	"2019"	"2019"	881	77842364	1.1	0.3%
	"Drowning"	"GRINJ-002"	"2020 "	"2020"	937	77519345	1.2	0.3%
	"Fall"	"GRINJ-003"	"1999"	"1999"	268	76244208	0.4	0.1%
	"Fall"	"GRINJ-003"	"2000"	"2000"	218	76667617	0.3	0.1%
	"Fall"	"GRINJ-003"	"2001"	"2001"	235	76893883	0.3	0.1%
	"Fall"	"GRINJ-003"	"2002"	"2002"	205	77221939	0.3	0.1%
	"Fall"	"GRINJ-003"	"2003"	"2003"	234	77449945	0.3	0.1%
	"Fall"	"GRINJ-003"	"2004"	"2004"	217	77740096	0.3	0.1%
	"Fall"	"GRINJ-003"	"2005"	"2005"	193	78000867	0.2	0.1%
	"Fall"	"GRINJ-003"	"2006"	"2006"	200	78282680	0.3	0.1%
	"Fall"	"GRINJ-003"	"2007"	"2007"	193	78601434	0.2	0.1%
	"Fall"	"GRINJ-003"	"2008"	"2008"	192	78985529	0.2	0.1%
	"Fall"	"GRINJ-003"	"2009"	"2009"	170	79276804	0.2	0.1%
	"Fall"	"GRINJ-003"	"2010"	"2010"	165	79323403	0.2	0.1%
	"Fall"	"GRINJ-003"	"2011"	"2011"	175	78848612	0.2	0.1%
	"Fall"	"GRINJ-003"	"2012"	"2012"	167	78561723	0.2	0.1%
	"Fall"	"GRINJ-003"	"2013"	"2013"	164	78306304	0.2	0.1%
	"Fall"	"GRINJ-003"	"2014"	"2014"	155	78187252	0.2	0.1%
	"Fall"	"GRINJ-003"	"2015"	"2015"	183	78147652	0.2	0.1%
	"Fall"	"GRINJ-003"	"2016"	"2016"	169	78134923	0.2	0.1%
	"Fall"	"GRINJ-003"	"2017"	"2017"	189	78213917	0.2	0.1%
	"Fall"	"GRINJ-003"	"2018"	"2018"	159	78134457	0.2	0.1%
	"Fall"	"GRINJ-003"	"2019"	"2019"	198	77842364	0.3	0.1%
	"Fall"	"GRINJ-003"	"2020 "	"2020"	167	77519345	0.2	0.1%
	"Fire/Flame"	"GRINJ-004"	"1999"	"1999"	727	76244208	1.0	0.2%
	"Fire/Flame"	"GRINJ-004"	"2000"	"2000"	704	76667617	0.9	0.2%
	"Fire/Flame"	"GRINJ-004"	"2001"	"2001"	612	76893883	0.8	0.2%
	"Fire/Flame"	"GRINJ-004"	"2002"	"2002"	626	77221939	0.8	0.2%
	"Fire/Flame"	"GRINJ-004"	"2003"	"2003"	577	77449945	0.7	0.2%
	"Fire/Flame"	"GRINJ-004"	"2004"	"2004"	600	77740096	0.8	0.2%
	"Fire/Flame"	"GRINJ-004"	"2005"	"2005"	562	78000867	0.7	0.2%
	"Fire/Flame"	"GRINJ-004"	"2006"	"2006"	514	78282680	0.7	0.2%
	"Fire/Flame"	"GRINJ-004"	"2007"	"2007"	542	78601434	0.7	0.2%
	"Fire/Flame"	"GRINJ-004"	"2008"	"2008"	436	78985529	0.6	0.1%
	"Fire/Flame"	"GRINJ-004"	"2009"	"2009"	405	79276804	0.5	0.1%
	"Fire/Flame"	"GRINJ-004"	"2010"	"2010"	391	79323403	0.5	0.1%
	"Fire/Flame"	"GRINJ-004"	"2011"	"2011"	346	78848612	0.4	0.1%
	"Fire/Flame"	"GRINJ-004"	"2012"	"2012"	286	78561723	0.4	0.1%
	"Fire/Flame"	"GRINJ-004"	"2013"	"2013"	357	78306304	0.5	0.1%
	"Fire/Flame"	"GRINJ-004"	"2014"	"2014"	318	78187252	0.4	0.1%
	"Fire/Flame"	"GRINJ-004"	"2015"	"2015"	281	78147652	0.4	0.1%
	"Fire/Flame"	"GRINJ-004"	"2016"	"2016"	330	78134923	0.4	0.1%
	"Fire/Flame"	"GRINJ-004"	"2017"	"2017"	330	78213917	0.4	0.1%
	"Fire/Flame"	"GRINJ-004"	"2018"	"2018"	345	78134457	0.4	0.1%
	"Fire/Flame"	"GRINJ-004"	"2019"	"2019"	261	77842364	0.3	0.1%
	"Fire/Flame"	"GRINJ-004"	"2020 "	"2020"	262	77519345	0.3	0.1%
	"Hot object/Substance"	"GRINJ-005"	"1999"	"1999"	12	76244208	Unreliable	0.0%
	"Hot object/Substance"	"GRINJ-005"	"2000"	"2000"	11	76667617	Unreliable	0.0%
	"Hot object/Substance"	"GRINJ-005"	"2001"	"2001"	7	76893883	Unreliable	0.0%
	"Hot object/Substance"	"GRINJ-005"	"2002"	"2002"	8	77221939	Unreliable	0.0%
	"Hot object/Substance"	"GRINJ-005"	"2003"	"2003"	7	77449945	Unreliable	0.0%
	"Hot object/Substance"	"GRINJ-005"	"2004"	"2004"	7	77740096	Unreliable	0.0%
	"Hot object/Substance"	"GRINJ-005"	"2005"	"2005"	10	78000867	Unreliable	0.0%
	"Hot object/Substance"	"GRINJ-005"	"2006"	"2006"	8	78282680	Unreliable	0.0%
	"Hot object/Substance"	"GRINJ-005"	"2007"	"2007"	9	78601434	Unreliable	0.0%
	"Hot object/Substance"	"GRINJ-005"	"2008"	"2008"	7	78985529	Unreliable	0.0%
	"Hot object/Substance"	"GRINJ-005"	"2009"	"2009"	3	79276804	Unreliable	0.0%
