Year,Alaska,Northwest,Northern California,Southern California,Northern Rockies,Great Basin,Western Great Basin,Southwest,Rocky Mountains,Eastern Area,Southern Area,Total
2021,"9,894","365,742","1,024,538","82,405","243,603","72,416",N/A,"351,928","263,758","122,382","487,093","3,023,759"
2020,284,"1,516,910","1,229,991","927,722","230,928","431,487",N/A,"368,729","791,996","59,858","440,908","5,998,813"
2019,"44,061","140,321","190,426","36,146","31,894","126,584",N/A,"202,918","49,743","38,773","356,188","1,217,324"
2018,"28,946","609,578","1,404,463","324,102","48,372","1,030,761",N/A,"309,546","504,416",374,"1,329,945","5,640,489"
2017,"6,890","465,864","343,195","532,640","135,131","788,769",N/A,"207,818","645,162","41,459","1,663,548","4,830,476"
2016,"10,069","436,106","93,699","464,718","84,249","333,318",N/A,"219,103","530,831","97,094","1,497,423","3,766,610"
2015,"26,652","702,206","308,762","96,990","77,905","49,066",N/A,"19,596","163,871","100,094","467,319","2,012,461"
2014,"222,909","147,583","181,965","74,082","29,088","43,363","12,145","74,219","71,823","53,855","74,082","1,582,770"
2013,"161,767","115,842","151,677","380,390","40,184","30,049","10,459","99,900","35,258","64,635","171,819","1,261,980"
2012,"33,840","127,303","178,818","80,539","279,369","483,019","92,671","106,421","393,477","119,274","605,518","2,500,249"
2011,"25,236","30,038","20,051","80,427","18,219","64,280","54,016","1,810,445","300,776","117,521","2,835,762","5,356,771"
2010,"106,759","70,684","22,701","67,236","25,574","183,684","3,173","69,860","118,702","128,649","506,337","1,303,449"
2009,"43,887","29,592","57,997","296,429","32,651","16,975","26,046","210,642","76,842","118,230","1,163,455","2,072,746"
2008,"1,857","99,706","91,022","454,249","105,634","120,391","17,769","339,201","117,554","69,396","2,013,212","3,429,991"
2007,"59,007","244,335","153,154","855,978","237,835","288,627","46,057","90,660","85,442","230,750","1,157,515","3,449,360"
2006,"147,292","112,098","146,999","342,864","126,078","278,288","46,947","392,892","209,693","115,171","2,486,522","4,404,844"
2005,"8,184","219,012","37,658","61,728","53,616","187,248","43,811","267,043","48,356","85,589","509,082","1,521,327"
2004,"17,789","58,178","146,720","84,075","23,585","13,636","13,864","63,062","35,346","101,089","407,456","964,800"
2003,"22,093","126,381","96,415","653,016","137,309","182,916","5,161","127,332","87,823","235,391","248,412","1,922,249"
2002,"427,321","105,544","39,560","412,447","65,891","101,986","29,288","772,299","661,679","104,900","356,204","3,077,119"
2001,"206,844","98,677","101,240","101,240","29,981","114,996","57,636","20,229","75,483","196,226","761,605","1,748,661"
