"Date","Organic traffic"
"2015-06-23",15
"2015-06-24",255
"2015-06-25",255
"2015-06-26",255
"2015-06-27",255
"2015-06-28",255
"2015-06-29",255
"2015-06-30",255
"2015-07-01",255
"2015-07-02",255
"2015-07-03",255
"2015-07-04",255
"2015-07-05",255
"2015-07-06",255
"2015-07-07",255
"2015-07-08",255
"2015-07-09",257
"2015-07-10",257
"2015-07-11",263
"2015-07-12",263
"2015-07-13",263
"2015-07-14",263
"2015-07-15",263
"2015-07-16",263
"2015-07-17",263
"2015-07-18",263
"2015-07-19",263
"2015-07-20",263
"2015-07-21",263
"2015-07-22",263
"2015-07-23",263
"2015-07-24",263
"2015-07-25",275
"2015-07-26",275
"2015-07-27",275
"2015-07-28",275
"2015-07-29",61
"2015-07-30",61
"2015-07-31",61
"2015-08-01",61
"2015-08-02",61
"2015-08-03",61
"2015-08-04",70
"2015-08-05",70
"2015-08-06",70
"2015-08-07",70
"2015-08-08",70
"2015-08-09",70
"2015-08-10",284
"2015-08-11",284
"2015-08-12",284
"2015-08-13",284
"2015-08-14",284
"2015-08-15",284
"2015-08-16",284
"2015-08-17",284
"2015-08-18",284
"2015-08-19",284
"2015-08-20",284
"2015-08-21",284
"2015-08-22",284
"2015-08-23",284
"2015-08-24",158
"2015-08-25",158
"2015-08-26",158
"2015-08-27",158
"2015-08-28",158
"2015-08-29",158
"2015-08-30",158
"2015-08-31",158
"2015-09-01",158
"2015-09-02",158
"2015-09-03",158
"2015-09-04",158
"2015-09-05",158
"2015-09-06",158
"2015-09-07",158
"2015-09-08",141
"2015-09-09",139
"2015-09-10",139
"2015-09-11",139
"2015-09-12",139
"2015-09-13",139
"2015-09-14",139
"2015-09-15",139
"2015-09-16",139
"2015-09-17",139
"2015-09-18",139
"2015-09-19",139
"2015-09-20",139
"2015-09-21",156
"2015-09-22",156
"2015-09-23",156
"2015-09-24",156
"2015-09-25",156
"2015-09-26",156
"2015-09-27",156
"2015-09-28",156
"2015-09-29",156
"2015-09-30",156
"2015-10-01",156
"2015-10-02",156
"2015-10-03",155
"2015-10-04",155
"2015-10-05",137
"2015-10-06",137
"2015-10-07",137
"2015-10-08",137
"2015-10-09",137
"2015-10-10",137
"2015-10-11",137
"2015-10-12",137
"2015-10-13",137
"2015-10-14",137
"2015-10-15",137
"2015-10-16",137
"2015-10-17",137
"2015-10-18",137
"2015-10-19",137
"2015-10-20",137
"2015-10-21",137
"2015-10-22",137
"2015-10-23",137
"2015-10-24",137
"2015-10-25",137
"2015-10-26",137
"2015-10-27",137
"2015-10-28",137
"2015-10-29",137
"2015-10-30",137
"2015-10-31",137
"2015-11-01",137
"2015-11-02",139
"2015-11-03",139
"2015-11-04",139
"2015-11-05",139
"2015-11-06",139
"2015-11-07",139
"2015-11-08",139
"2015-11-09",139
"2015-11-10",139
"2015-11-11",139
"2015-11-12",139
"2015-11-13",139
"2015-11-14",139
"2015-11-15",139
"2015-11-16",139
"2015-11-17",139
"2015-11-18",283
"2015-11-19",281
"2015-11-20",281
"2015-11-21",281
"2015-11-22",281
"2015-11-23",281
"2015-11-24",281
"2015-11-25",281
"2015-11-26",281
"2015-11-27",281
"2015-11-28",281
"2015-11-29",281
"2015-11-30",281
"2015-12-01",281
"2015-12-02",281
"2015-12-03",281
"2015-12-04",281
"2015-12-05",281
"2015-12-06",281
"2015-12-07",281
"2015-12-08",281
"2015-12-09",281
"2015-12-10",281
"2015-12-11",281
"2015-12-12",281
"2015-12-13",281
"2015-12-14",281
"2015-12-15",281
"2015-12-16",281
"2015-12-17",281
"2015-12-18",281
"2015-12-19",281
"2015-12-20",281
"2015-12-21",281
"2015-12-22",283
"2015-12-23",288
"2015-12-24",288
"2015-12-25",288
"2015-12-26",288
"2015-12-27",288
"2015-12-28",288
"2015-12-29",288
"2015-12-30",288
"2015-12-31",288
"2016-01-01",288
"2016-01-02",288
"2016-01-03",288
"2016-01-04",288
"2016-01-05",288
"2016-01-06",288
"2016-01-07",288
"2016-01-08",288
"2016-01-09",288
"2016-01-10",288
"2016-01-11",288
"2016-01-12",289
"2016-01-13",289
"2016-01-14",289
"2016-01-15",289
"2016-01-16",289
"2016-01-17",289
"2016-01-18",289
"2016-01-19",289
"2016-01-20",289
"2016-01-21",289
"2016-01-22",289
"2016-01-23",289
"2016-01-24",289
"2016-01-25",289
"2016-01-26",289
"2016-01-27",273
"2016-01-28",273
"2016-01-29",271
"2016-01-30",271
"2016-01-31",272
"2016-02-01",272
"2016-02-02",272
"2016-02-03",272
"2016-02-04",272
"2016-02-05",272
"2016-02-06",272
"2016-02-07",272
"2016-02-08",272
"2016-02-09",272
