"Date","Organic traffic"
"2018-04-29",0
"2018-04-30",0
"2018-05-01",0
"2018-05-02",0
"2018-05-03",0
"2018-05-04",0
"2018-05-05",0
"2018-05-06",0
"2018-05-07",0
"2018-05-08",0
"2018-05-09",0
"2018-05-10",0
"2018-05-11",0
"2018-05-12",0
"2018-05-13",0
"2018-05-14",0
"2018-05-15",0
"2018-05-16",0
"2018-05-17",0
"2018-05-18",0
"2018-05-19",0
"2018-05-20",0
"2018-05-21",1
"2018-05-22",1
"2018-05-23",1
"2018-05-24",1
"2018-05-25",1
"2018-05-26",1
"2018-05-27",1
"2018-05-28",1
"2018-05-29",1
"2018-05-30",2
"2018-05-31",2
"2018-06-01",2
"2018-06-02",1826
"2018-06-03",1826
"2018-06-04",1830
"2018-06-05",1843
"2018-06-06",1843
"2018-06-07",1843
"2018-06-08",1843
"2018-06-09",1843
"2018-06-10",1843
"2018-06-11",1843
"2018-06-12",1843
"2018-06-13",1843
"2018-06-14",1843
"2018-06-15",1843
"2018-06-16",1843
"2018-06-17",1843
"2018-06-18",1853
"2018-06-19",1853
"2018-06-20",1853
"2018-06-21",1853
"2018-06-22",1860
"2018-06-23",1862
"2018-06-24",1862
"2018-06-25",1863
"2018-06-26",1863
"2018-06-27",1863
"2018-06-28",1863
"2018-06-29",1863
"2018-06-30",1863
"2018-07-01",1863
"2018-07-02",1863
"2018-07-03",1863
"2018-07-04",1858
"2018-07-05",1863
"2018-07-06",1863
"2018-07-07",1863
"2018-07-08",1914
"2018-07-09",1916
"2018-07-10",1916
"2018-07-11",1916
"2018-07-12",1916
"2018-07-13",1980
"2018-07-14",1980
"2018-07-15",1982
"2018-07-16",1982
"2018-07-17",1982
"2018-07-18",1982
"2018-07-19",1982
"2018-07-20",1982
"2018-07-21",2003
"2018-07-22",2003
"2018-07-23",1982
"2018-07-24",1980
"2018-07-25",2025
"2018-07-26",2040
"2018-07-27",2040
"2018-07-28",2040
"2018-07-29",2040
"2018-07-30",2043
"2018-07-31",2043
"2018-08-01",2088
"2018-08-02",2088
"2018-08-03",264
"2018-08-04",3627
"2018-08-05",3627
"2018-08-06",3628
"2018-08-07",3628
"2018-08-08",3628
"2018-08-09",3631
"2018-08-10",3655
"2018-08-11",3655
"2018-08-12",3655
"2018-08-13",3627
"2018-08-14",3627
"2018-08-15",3627
"2018-08-16",3627
"2018-08-17",3627
"2018-08-18",3627
"2018-08-19",3627
"2018-08-20",3627
"2018-08-21",3627
"2018-08-22",3620
"2018-08-23",3614
"2018-08-24",3614
"2018-08-25",3591
"2018-08-26",3596
"2018-08-27",3597
"2018-08-28",3597
"2018-08-29",3604
"2018-08-30",3604
"2018-08-31",3605
"2018-09-01",3605
"2018-09-02",3605
"2018-09-03",3605
"2018-09-04",3610
"2018-09-05",3589
"2018-09-06",3603
"2018-09-07",3606
"2018-09-08",3635
"2018-09-09",3635
"2018-09-10",3640
"2018-09-11",3641
"2018-09-12",3641
"2018-09-13",3641
"2018-09-14",3615
"2018-09-15",3613
"2018-09-16",3619
"2018-09-17",3619
"2018-09-18",3619
"2018-09-19",3619
"2018-09-20",3620
"2018-09-21",3620
"2018-09-22",3620
"2018-09-23",3620
"2018-09-24",3620
"2018-09-25",3619
"2018-09-26",3633
"2018-09-27",3606
"2018-09-28",3609
"2018-09-29",3612
"2018-09-30",3613
"2018-10-01",3613
"2018-10-02",3568
"2018-10-03",205
"2018-10-04",205
"2018-10-05",205
"2018-10-06",205
"2018-10-07",205
"2018-10-08",205
"2018-10-09",205
"2018-10-10",201
"2018-10-11",399
"2018-10-12",400
"2018-10-13",388
"2018-10-14",378
"2018-10-15",393
"2018-10-16",391
"2018-10-17",390
"2018-10-18",4109
"2018-10-19",4109
"2018-10-20",4109
"2018-10-21",4109
"2018-10-22",4109
"2018-10-23",4109
"2018-10-24",4104
"2018-10-25",4104
"2018-10-26",4099
"2018-10-27",4090
"2018-10-28",4227
"2018-10-29",4227
"2018-10-30",4227
"2018-10-31",4227
"2018-11-01",4227
"2018-11-02",4227
"2018-11-03",5239
"2018-11-04",5238
"2018-11-05",5237
"2018-11-06",5237
"2018-11-07",5237
"2018-11-08",5238
"2018-11-09",5238
"2018-11-10",5238
"2018-11-11",5238
"2018-11-12",5225
"2018-11-13",5210
"2018-11-14",5277
