"Date","Organic traffic"
"2020-05-03",0
"2020-05-04",0
"2020-05-05",0
"2020-05-06",0
"2020-05-07",0
"2020-05-08",0
"2020-05-09",0
"2020-05-10",1
"2020-05-11",1
"2020-05-12",1
"2020-05-13",1
"2020-05-14",2
"2020-05-15",2
"2020-05-16",2
"2020-05-17",2
"2020-05-18",2
"2020-05-19",2
"2020-05-20",2
"2020-05-21",2
"2020-05-22",2
"2020-05-23",2
"2020-05-24",2
"2020-05-25",2
"2020-05-26",2
"2020-05-27",2
"2020-05-28",2
"2020-05-29",2
"2020-05-30",2
"2020-05-31",2
"2020-06-01",2
"2020-06-02",2
"2020-06-03",2
"2020-06-04",2
"2020-06-05",2
"2020-06-06",2
"2020-06-07",2
"2020-06-08",2
"2020-06-09",2
"2020-06-10",2
"2020-06-11",2
"2020-06-12",2
"2020-06-13",2
"2020-06-14",2
"2020-06-15",2
"2020-06-16",2
"2020-06-17",2
"2020-06-18",2
"2020-06-19",2
"2020-06-20",3
"2020-06-21",9
"2020-06-22",9
"2020-06-23",9
"2020-06-24",9
"2020-06-25",9
"2020-06-26",10
"2020-06-27",11
"2020-06-28",11
"2020-06-29",11
"2020-06-30",11
"2020-07-01",11
"2020-07-02",11
"2020-07-03",11
"2020-07-04",13
"2020-07-05",13
"2020-07-06",13
"2020-07-07",13
"2020-07-08",16
"2020-07-09",16
"2020-07-10",16
"2020-07-11",16
"2020-07-12",16
"2020-07-13",14
"2020-07-14",14
"2020-07-15",14
"2020-07-16",14
"2020-07-17",14
"2020-07-18",14
"2020-07-19",14
"2020-07-20",13
"2020-07-21",13
"2020-07-22",11
"2020-07-23",11
"2020-07-24",11
"2020-07-25",11
"2020-07-26",11
"2020-07-27",11
"2020-07-28",11
"2020-07-29",11
"2020-07-30",14
"2020-07-31",14
"2020-08-01",14
"2020-08-02",14
"2020-08-03",16
"2020-08-04",16
"2020-08-05",16
"2020-08-06",22
"2020-08-07",21
"2020-08-08",21
"2020-08-09",21
"2020-08-10",22
"2020-08-11",23
"2020-08-12",23
"2020-08-13",23
"2020-08-14",25
"2020-08-15",27
"2020-08-16",27
"2020-08-17",32
"2020-08-18",32
"2020-08-19",32
"2020-08-20",32
"2020-08-21",33
"2020-08-22",38
"2020-08-23",38
"2020-08-24",38
"2020-08-25",38
"2020-08-26",38
"2020-08-27",39
"2020-08-28",40
"2020-08-29",40
"2020-08-30",41
"2020-08-31",41
"2020-09-01",41
"2020-09-02",41
"2020-09-03",41
"2020-09-04",42
"2020-09-05",42
"2020-09-06",42
"2020-09-07",42
"2020-09-08",42
"2020-09-09",42
"2020-09-10",42
"2020-09-11",42
"2020-09-12",43
"2020-09-13",43
