"Date","Organic traffic"
"2020-01-20",0
"2020-01-21",0
"2020-01-22",0
"2020-01-23",0
"2020-01-24",0
"2020-01-25",0
"2020-01-26",0
"2020-01-27",0
"2020-01-28",0
"2020-01-29",0
"2020-01-30",0
"2020-01-31",0
"2020-02-01",0
"2020-02-02",0
"2020-02-03",0
"2020-02-04",0
"2020-02-05",0
"2020-02-06",0
"2020-02-07",0
"2020-02-08",0
"2020-02-09",0
"2020-02-10",0
"2020-02-11",4
"2020-02-12",4
"2020-02-13",4
"2020-02-14",4
"2020-02-15",4
"2020-02-16",4
"2020-02-17",4
"2020-02-18",4
"2020-02-19",4
"2020-02-20",8
"2020-02-21",8
"2020-02-22",8
"2020-02-23",8
"2020-02-24",10
"2020-02-25",10
"2020-02-26",9
"2020-02-27",9
"2020-02-28",9
"2020-02-29",10
"2020-03-01",12
"2020-03-02",12
"2020-03-03",14
"2020-03-04",14
"2020-03-05",14
"2020-03-06",16
"2020-03-07",17
"2020-03-08",17
"2020-03-09",17
"2020-03-10",19
"2020-03-11",18
"2020-03-12",22
"2020-03-13",22
"2020-03-14",21
"2020-03-15",22
"2020-03-16",24
"2020-03-17",24
"2020-03-18",24
"2020-03-19",26
"2020-03-20",27
"2020-03-21",38
"2020-03-22",37
"2020-03-23",39
"2020-03-24",66
"2020-03-25",71
"2020-03-26",70
"2020-03-27",72
"2020-03-28",75
"2020-03-29",76
"2020-03-30",75
"2020-03-31",67
"2020-04-01",63
"2020-04-02",62
"2020-04-03",63
"2020-04-04",66
"2020-04-05",66
"2020-04-06",65
"2020-04-07",70
"2020-04-08",70
"2020-04-09",71
"2020-04-10",74
"2020-04-11",74
"2020-04-12",84
"2020-04-13",88
"2020-04-14",97
"2020-04-15",84
"2020-04-16",99
"2020-04-17",110
"2020-04-18",101
"2020-04-19",103
"2020-04-20",111
"2020-04-21",99
"2020-04-22",98
"2020-04-23",101
"2020-04-24",102
"2020-04-25",102
"2020-04-26",115
"2020-04-27",124
"2020-04-28",126
"2020-04-29",129
"2020-04-30",167
"2020-05-01",183
"2020-05-02",191
"2020-05-03",192
"2020-05-04",213
"2020-05-05",224
"2020-05-06",340
"2020-05-07",351
"2020-05-08",315
"2020-05-09",343
"2020-05-10",329
"2020-05-11",351
"2020-05-12",405
"2020-05-13",420
"2020-05-14",538
"2020-05-15",573
"2020-05-16",647
"2020-05-17",661
"2020-05-18",1223
"2020-05-19",1328
"2020-05-20",1411
"2020-05-21",1670
"2020-05-22",1693
"2020-05-23",1649
"2020-05-24",1638
"2020-05-25",1731
"2020-05-26",1493
"2020-05-27",1509
"2020-05-28",1387
"2020-05-29",1970
"2020-05-30",2109
"2020-05-31",2126
"2020-06-01",2216
"2020-06-02",2334
"2020-06-03",2416
"2020-06-04",2454
"2020-06-05",2481
"2020-06-06",2173
"2020-06-07",2181
"2020-06-08",2216
"2020-06-09",3112
"2020-06-10",3174
"2020-06-11",3295
"2020-06-12",3362
"2020-06-13",3414
"2020-06-14",3478
"2020-06-15",3537
"2020-06-16",3748
"2020-06-17",3909
"2020-06-18",3957
"2020-06-19",3866
"2020-06-20",3925
"2020-06-21",3962
"2020-06-22",3918
"2020-06-23",3977
"2020-06-24",4045
"2020-06-25",6353
"2020-06-26",6820
"2020-06-27",7371
"2020-06-28",7468
"2020-06-29",7729
"2020-06-30",7978
"2020-07-01",8379
"2020-07-02",10107
"2020-07-03",9977
"2020-07-04",9809
"2020-07-05",9653
"2020-07-06",9684
"2020-07-07",9789
"2020-07-08",9952
"2020-07-09",10683
"2020-07-10",10647
"2020-07-11",10654
"2020-07-12",10909
"2020-07-13",11490
"2020-07-14",12311
"2020-07-15",12434
"2020-07-16",12481
"2020-07-17",13518
"2020-07-18",14526
"2020-07-19",15312
"2020-07-20",17427
"2020-07-21",18922
"2020-07-22",19281
"2020-07-23",19477
"2020-07-24",20221
"2020-07-25",22366
"2020-07-26",22750
"2020-07-27",23495
"2020-07-28",22694
"2020-07-29",23587
"2020-07-30",25033
"2020-07-31",26759
"2020-08-01",30005
"2020-08-02",31833
"2020-08-03",34230
"2020-08-04",35392
"2020-08-05",35203
"2020-08-06",37113
"2020-08-07",38880
"2020-08-08",39819
"2020-08-09",39488
"2020-08-10",41706
"2020-08-11",43028
"2020-08-12",42801
"2020-08-13",41113
"2020-08-14",41259
"2020-08-15",42197
"2020-08-16",42354
"2020-08-17",45117
"2020-08-18",45763
"2020-08-19",48181
"2020-08-20",49617
"2020-08-21",55150
"2020-08-22",58407
"2020-08-23",54637
"2020-08-24",51853
"2020-08-25",57030
"2020-08-26",59675
"2020-08-27",61698
"2020-08-28",59333
"2020-08-29",58760
"2020-08-30",59210
"2020-08-31",59919
"2020-09-01",59006
"2020-09-02",59261
"2020-09-03",61040
"2020-09-04",63236
"2020-09-05",64533
"2020-09-06",65548
"2020-09-07",67410
"2020-09-08",67451
"2020-09-09",66796
"2020-09-10",71124
"2020-09-11",75882
"2020-09-12",79955
"2020-09-13",82641
"2020-09-14",83032
"2020-09-15",83615
"2020-09-16",85885
"2020-09-17",83608
"2020-09-18",84301
"2020-09-19",91220
"2020-09-20",98722
"2020-09-21",99269
"2020-09-22",100734
"2020-09-23",103353
"2020-09-24",104605
"2020-09-25",107162
"2020-09-26",118447
"2020-09-27",132344
"2020-09-28",132668
"2020-09-29",133660
"2020-09-30",135935
"2020-10-01",136410
"2020-10-02",153118
"2020-10-03",154486
"2020-10-04",152322
"2020-10-05",154318
"2020-10-06",156115
"2020-10-07",162451
"2020-10-08",165616
"2020-10-09",168520
"2020-10-10",168147
"2020-10-11",165350
"2020-10-12",165507
"2020-10-13",170115
"2020-10-14",172457
"2020-10-15",173556
"2020-10-16",177241
"2020-10-17",188748
"2020-10-18",197884
"2020-10-19",203358
"2020-10-20",192387
"2020-10-21",192762
"2020-10-22",192277
"2020-10-23",190372
"2020-10-24",191442
"2020-10-25",191811
"2020-10-26",191262
"2020-10-27",188665
"2020-10-28",186549
"2020-10-29",184873
"2020-10-30",189308
"2020-10-31",193645
"2020-11-01",206846
"2020-11-02",209561
"2020-11-03",215314
"2020-11-04",222842
"2020-11-05",218594
"2020-11-06",218647
"2020-11-07",221907
"2020-11-08",224419
"2020-11-09",223317
"2020-11-10",220356
"2020-11-11",227546
"2020-11-12",230978
"2020-11-13",222792
"2020-11-14",203066
"2020-11-15",199477
"2020-11-16",201295
"2020-11-17",200852
"2020-11-18",197246
"2020-11-19",198288
"2020-11-20",194797
"2020-11-21",197407
"2020-11-22",201844
"2020-11-23",200318
"2020-11-24",200946
"2020-11-25",198999
"2020-11-26",209666
"2020-11-27",212564
"2020-11-28",203099
"2020-11-29",204505
"2020-11-30",202174
"2020-12-01",214378
"2020-12-02",229740
"2020-12-03",226341
"2020-12-04",216709
"2020-12-05",210640
"2020-12-06",209980
"2020-12-07",211454
"2020-12-08",211809
"2020-12-09",213651
"2020-12-10",234815
"2020-12-11",239654
"2020-12-12",238249
"2020-12-13",237149
"2020-12-14",239580
"2020-12-15",238080
"2020-12-16",239289
"2020-12-17",240250
"2020-12-18",242098
"2020-12-19",244225
"2020-12-20",237027
"2020-12-21",252459
"2020-12-22",262849
"2020-12-23",255938
"2020-12-24",247108
"2020-12-25",247128
"2020-12-26",245588
"2020-12-27",258106
"2020-12-28",261506
"2020-12-29",252446
"2020-12-30",256328
"2020-12-31",268703
"2021-01-01",269552
"2021-01-02",266596
"2021-01-03",268751
"2021-01-04",269058
"2021-01-05",263085
"2021-01-06",266336
"2021-01-07",269521
"2021-01-08",268540
"2021-01-09",270241
"2021-01-10",277827
"2021-01-11",282133
"2021-01-12",279859
"2021-01-13",278408
"2021-01-14",275139
"2021-01-15",279152
"2021-01-16",279479
"2021-01-17",274115
"2021-01-18",273112
"2021-01-19",279698
"2021-01-20",274759
"2021-01-21",274124
"2021-01-22",268695
"2021-01-23",262713
"2021-01-24",260881
"2021-01-25",269290
"2021-01-26",269744
"2021-01-27",261586
"2021-01-28",260005
"2021-01-29",268094
"2021-01-30",272287
"2021-01-31",270122
"2021-02-01",276117
"2021-02-02",278573
"2021-02-03",276705
"2021-02-04",280082
"2021-02-05",279271
"2021-02-06",282300
"2021-02-07",284550
"2021-02-08",284225
"2021-02-09",286453
"2021-02-10",294000
"2021-02-11",287711
"2021-02-12",297454
"2021-02-13",305162
"2021-02-14",307128
"2021-02-15",307029
"2021-02-16",308544
"2021-02-17",309040
"2021-02-18",305576
"2021-02-19",311843
"2021-02-20",328563
"2021-02-21",334923
"2021-02-22",335926
"2021-02-23",337067
"2021-02-24",346341
"2021-02-25",342786
"2021-02-26",339811
"2021-02-27",344267
"2021-02-28",343763
"2021-03-01",375785
"2021-03-02",397758
"2021-03-03",398240
"2021-03-04",399570
"2021-03-05",405353
"2021-03-06",408860
"2021-03-07",425478
"2021-03-08",436897
"2021-03-09",426559
"2021-03-10",429386
"2021-03-11",447525
"2021-03-12",440162
"2021-03-13",444262
"2021-03-14",444477
"2021-03-15",447396
"2021-03-16",456624
"2021-03-17",451991
"2021-03-18",447806
"2021-03-19",441687
"2021-03-20",440864
"2021-03-21",438757
"2021-03-22",442440
"2021-03-23",446039
"2021-03-24",447488
"2021-03-25",441060
"2021-03-26",436514
"2021-03-27",432655
"2021-03-28",435088
"2021-03-29",443182
"2021-03-30",443199
"2021-03-31",436963
"2021-04-01",425286
"2021-04-02",414764
"2021-04-03",418059
"2021-04-04",415502
"2021-04-05",413741
"2021-04-06",414062
"2021-04-07",412513
"2021-04-08",411978
"2021-04-09",415026
"2021-04-10",430781
"2021-04-11",432495
"2021-04-12",431301
"2021-04-13",434627
"2021-04-14",425181
"2021-04-15",426498
"2021-04-16",442845
"2021-04-17",448424
"2021-04-18",447399
"2021-04-19",443632
"2021-04-20",452515
"2021-04-21",461260
"2021-04-22",458557
"2021-04-23",458699
"2021-04-24",461210
"2021-04-25",460424
"2021-04-26",462617
"2021-04-27",462445
"2021-04-28",462567
"2021-04-29",465479
"2021-04-30",467710
"2021-05-01",467571
"2021-05-02",476700
"2021-05-03",485003
"2021-05-04",480667
"2021-05-05",481464
"2021-05-06",497476
"2021-05-07",518824
"2021-05-08",519509
"2021-05-09",509941
"2021-05-10",512000
"2021-05-11",515228
"2021-05-12",518231
"2021-05-13",494736
"2021-05-14",503544
"2021-05-15",493014
"2021-05-16",491374
"2021-05-17",487258
"2021-05-18",477331
"2021-05-19",476041
"2021-05-20",506927
"2021-05-21",576187
"2021-05-22",580599
"2021-05-23",563956
"2021-05-24",577978
"2021-05-25",576409
"2021-05-26",569228
"2021-05-27",585340
"2021-05-28",594250
"2021-05-29",588382
"2021-05-30",582831
"2021-05-31",593633
"2021-06-01",592164
"2021-06-02",613058
"2021-06-03",611700
