freq,unit,s_adj,na_item,geo\TIME_PERIOD	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 
Q,CLV_PCH_PRE,SCA,RLPR_HW,AT	-0.4 	1.5 	0.6 	-0.9 	1.1 	-0.9 	0.1 	0.6 	-0.6 	0.4 	0.6 	-1.2 	3.0 	1.3 	-3.2 	3.1 	-2.1 	-1.1 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,BG	0.7 	0.6 	-0.1 	0.1 	0.6 	0.9 	1.3 	1.2 	0.9 	0.5 	0.5 	0.3 	0.9 p	-0.1 p	-4.6 p	3.5 p	2.8 p	: 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,CY	0.7 	0.0 	0.0 	0.2 	0.7 	0.3 	-0.4 	-0.4 	0.7 	-0.2 	-0.5 	1.2 	0.9 	0.3 	-2.7 	2.7 	1.9 	0.7 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,CZ	0.0 	2.0 	0.2 	0.7 	-0.3 	0.3 	0.4 	0.4 	0.2 	1.3 	1.3 	1.1 	0.2 	-2.5 	-2.5 	7.3 	-2.0 	-1.0 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,DE	0.8 	0.2 	0.5 	0.6 	0.0 p	-0.6 p	-0.3 p	-0.2 p	0.9 p	-0.1 p	0.0 p	0.2 p	0.5 p	-2.2 p	1.8 p	2.7 p	-1.4 p	0.0 p	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,DK	0.4 	0.8 	-0.7 	0.3 	1.6 	0.1 	0.6 	0.4 	1.0 	-0.1 	-0.3 	0.2 	1.0 	-0.3 	-0.3 	0.6 	-1.9 	-0.3 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,EA	0.1 	0.5 	0.4 	0.4 	0.0 	-0.4 	-0.2 	0.3 	0.1 	0.4 	0.1 	0.0 	0.4 	2.8 	-2.5 	1.2 	0.2 	-0.4 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,EA12	0.0 	0.4 	0.3 	0.4 	0.0 	-0.4 	-0.2 	0.3 	0.1 	0.4 	0.1 	0.0 	0.5 	2.9 	-2.6 	1.2 	0.2 	-0.4 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,EA19	0.1 	0.5 	0.4 	0.4 	0.0 	-0.4 	-0.2 	0.3 	0.1 	0.4 	0.1 	0.0 	0.4 	2.8 	-2.5 	1.2 	0.2 	-0.4 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,EE	-2.2 	3.0 	-1.7 	1.3 	7.2 	-2.4 	3.8 	-0.4 	1.3 	0.5 	3.7 	-2.7 	2.0 	2.4 	-3.6 	2.3 	-0.4 	4.1 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,EL	-1.8 	0.8 	1.9 	-0.5 	-1.4 p	-0.7 p	0.3 p	1.0 p	1.7 p	-1.2 p	3.5 p	-1.7 p	5.0 p	7.4 p	-15.7 p	8.5 p	1.2 p	: 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,ES	0.0 	0.7 	-0.1 	0.3 	-0.2 p	-0.6 p	0.0 p	0.6 p	-0.6 p	0.6 p	0.4 p	-0.2 p	-0.9 p	5.2 p	-6.1 p	-0.9 p	1.6 p	-1.6 p	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,EU15	0.0 	0.3 	0.5 	0.3 	0.0 	-0.3 	-0.2 	0.3 	0.0 	0.3 	0.2 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,EU27_2020	0.1 	0.5 	0.5 	0.6 	0.1 	-0.3 	0.0 	0.6 	0.1 	0.4 	0.2 	0.1 	0.0 	0.2 	-0.4 	1.1 	-0.1 	-0.3 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,EU28	0.1 	0.4 	0.6 	0.5 	0.0 	-0.2 	0.0 	0.5 	0.0 	0.4 	0.3 	0.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,FI	-0.1 	1.2 	0.1 	0.3 	-0.8 	-0.6 	-0.8 	-0.4 	0.5 	0.5 	0.4 	-0.5 	0.0 	0.0 	-0.4 	1.6 	0.1 	1.2 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,FR	0.3 	0.7 	0.4 	0.4 	0.0 	0.1 	0.0 	0.2 	0.1 	0.2 	-0.3 	-0.4 	-1.5 	6.6 	-3.8 	1.6 	-0.2 	-0.1 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,HU	0.9 	0.9 	0.2 	1.0 	1.5 	0.8 	0.9 	1.1 	1.3 	1.0 	0.3 	1.2 	1.4 	-1.6 	-1.1 	1.5 	1.1 	1.7 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,IE	-6.4 	3.8 	0.3 	5.1 	-0.4 	2.4 	-2.3 	1.5 	0.8 	2.9 	-1.8 	1.0 	0.7 	11.3 	2.5 	-6.4 	9.8 	: 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,IT	0.2 	-0.3 	0.4 	-0.3 	1.1 	-1.2 	0.2 	0.7 	-0.9 	0.5 	0.2 	0.6 	2.1 	1.0 	-1.7 	-0.2 	0.2 	-1.2 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,LT	3.6 	0.2 	3.1 	0.7 	-0.2 	-0.2 	-0.4 	1.8 	0.8 	0.3 	3.2 	0.2 	1.9 	1.2 	1.1 	0.8 	0.7 	-1.1 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,LU	-1.9 	-0.4 	0.8 	-0.1 	0.4 	-1.3 	0.0 	-0.6 	-1.4 	1.6 	0.0 	-0.8 	2.5 	-1.0 	0.3 	1.8 	6.4 	: 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,LV	0.7 	4.3 	0.2 	-2.7 	-0.7 	3.1 	2.5 	0.4 	0.1 	3.4 	-2.3 	1.0 	-0.8 	4.4 	-3.9 	5.4 	3.1 	-4.0 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,MT	6.2 	-0.5 	0.9 	-0.1 	-3.1 	1.9 	0.9 	-1.2 	-5.2 	1.4 	-0.1 	-0.1 	2.2 	-3.0 	-2.4 	3.5 	1.5 	-1.6 	: 	: 	: 	: 	: 	: 
Q,CLV_PCH_PRE,SCA,RLPR_HW,NL	0.2 	-0.6 	0.4 	0.9 	-0.8 	0.1 	-0.8 	0.3 	-0.4 p	0.3 p	0.7 p	0.1 p	-1.4 p	-2.1 p	1.8 p	2.2 p	-2.2 p	2.0 p	: 	: 	: 	: 	: 	: 
